name,country,lat,lon,population,elev_m,pga_475_g,seismic,vs30,precip,wtd,dw_km,pgv,full_dTWS_cm,recent_dTWS_cm,full_trend_cm_yr,recent_trend_cm_yr,full_p,recent_p,reversal,dist_lake_km,gw_clean,P0_full,dP_full,wtdnew_full,dLSE_full,P0_recent,dP_recent,wtdnew_recent,dLSE_recent
Manila,PH,14.6042,120.9822,1600000,13,0.3303762000045073,True,222.3428497314453,2258.0,2.838178072785581,2.868634674256883,33.03762000045073,7.54,4.17,0.3439,0.4215,0.0,0.01473,False,4340.933241628025,True,0.5352704588103365,0.00623996148224415,2.084178072785581,0.7715094927747081,0.5352704588103365,0.0034525042116553273,2.4211780727855814,0.4284990881437025
Nanchong,CN,30.79508,106.08473,1858875,287,0.0702872509812431,True,285.2292175292969,1090.0,21.637293049515563,1.6133376582818284,7.028725098124309,15.56,8.48,0.7102,0.8565,0.0,0.00116,False,2301.8076421846567,True,0.13550419512687714,0.006185162114926063,20.081293049515562,0.03088159127657153,0.13550419512687714,0.0033421029186353757,20.789293049515564,0.016301970416991052
Linfen,CN,36.08889,111.51889,959198,451,0.1546868420043955,True,293.7706298828125,507.0,12.08514534218358,3.074087015091247,15.46868420043955,-37.41,9.01,-1.7069,0.9104,0.0,0.02997,True,1792.1185280075297,True,0.12526262390434942,-0.013025062599856058,15.82614534218358,-0.04706077629289743,0.12526262390434942,0.003324649379068373,11.18414534218358,0.013719682082084655
Jamshedpur,IN,22.80278,86.18545,1339438,171,0.1567997419895702,True,378.3258056640625,1269.0,18.08194094758528,3.4616104711520226,15.67997419895702,-1.55,11.5,-0.0705,1.161,0.64692,0.02806,True,2297.663521040827,True,0.09184177486528729,-0.00042959853198715203,18.236940947585282,-0.0009843271436964784,0.09184177486528729,0.0032443803711670466,16.931940947585282,0.007668984450062033
Xuhui,CN,31.19594,121.44709,1109800,11,0.0507968402419307,True,231.6250457763672,1049.0,3.31120775158314,4.619253362715052,5.07968402419307,8.63,6.51,0.3939,0.6576,0.0,0.00162,False,2612.0442579464243,True,0.16914971483376806,0.004077255248391781,2.44820775158314,0.034149258205650845,0.16914971483376806,0.003068514903830727,2.6602077515831404,0.025498198892819568
Malingao,PH,7.16083,124.475,1121974,5,0.5545271999996771,True,208.9109344482422,2223.0,0.3662165255207696,6.959409912321897,55.45271999996771,3.48,3.94,0.1586,0.3983,0.0,0.00569,False,4120.250457986224,True,0.41506837508233535,0.0028162487532839564,0.018216525520769633,0.3278199625547469,0.41506837508233535,0.002963818340636637,0.0,0.34510133192208414
Maracaibo,VE,10.64232,-71.61089,1752602,-9999,0.09229294999185,True,600.0,868.0,6.042572671091818,0.4958092525614138,9.229294999185,7.32,13.06,0.3342,1.3193,0.0,0.0,False,1437.3731136235292,True,0.07177900916227815,0.0016411167665807969,5.310572671091818,0.0027202077685135884,0.07177900916227815,0.002952097833542222,4.736572671091818,0.0049487768665003595
Dalian,CN,38.91222,121.60222,4913879,33,0.0876957999990944,True,406.5933532714844,633.0,16.18982223239493,2.097084195587912,8.769579999909439,-2.9,13.4,-0.1322,1.3534,0.02928,0.0,True,1862.99199104763,True,0.0675900577208251,-0.0006060644913461477,16.47982223239493,-0.000917059020204794,0.0675900577208251,0.0028669946571540927,14.849822232394931,0.004469868480030545
Budta,PH,7.20417,124.43972,1273715,4,0.5609091576962117,True,207.1705474853516,2365.0,1.007095445182017,9.336091396501567,56.090915769621176,3.48,3.94,0.1586,0.3983,0.0,0.00569,False,4126.05751208717,True,0.3195365565377467,0.002524952078285625,0.6590954451820171,0.14972723307170188,0.3195365565377467,0.0028594931823949232,0.6130954451820172,0.16984513649919908
Mombasa,KE,-4.05466,39.66359,1208333,20,0.0996536100001263,True,238.92295837402344,1085.0,18.50919356069278,2.087189820522016,9.965361000012631,3.09,5.22,0.1408,0.5269,0.0,0.0,False,678.1165793589436,True,0.19898803448474553,0.0016451748917675202,18.200193560692778,0.0212745836015249,0.19898803448474553,0.0027851466347859066,17.98719356069278,0.036322564102511556
Chennai,IN,13.08784,80.27847,4681087,14,0.08934973,True,253.99093627929688,1239.0,8.041504539559014,1.7356817920194747,8.934973,0.13,4.13,0.0059,0.4167,0.68507,0.0,False,3244.1475941609324,True,0.2607011320522958,8.34440796997904e-05,8.028504539559014,0.002504309332187482,0.2607011320522958,0.002659389924254685,7.628504539559014,0.08112979046213686
Cartagena,CO,10.39817,-75.49328,914552,20,0.0708730299999999,True,275.66290283203125,1175.0,10.849164568551204,3.375842669104645,7.087302999999991,2.41,6.23,0.11,0.6294,0.16135,0.02112,False,1016.0496914122915,True,0.14909125977718016,0.0010209838453879294,10.608164568551205,0.006083288197241132,0.14909125977718016,0.002651092928865062,10.226164568551205,0.01600398156322691
Virār,IN,19.45591,72.81136,1222390,9,0.1198278828077522,True,334.1005249023437,1913.0,0.5951018539711868,5.855155470481908,11.98278828077522,7.19,14.03,0.3283,1.4173,0.00087,0.0001,False,2555.0748278449455,True,0.15397201004333153,0.0025991780956606536,0.0,0.016951968518108484,0.15397201004333153,0.0025991780956606536,0.0,0.016951968518108484
Mandalay,MM,21.97473,96.08359,1208099,83,0.3333079,True,217.5217742919922,792.0,4.516670481422182,3.9087577784911063,33.33079,-1.9,3.69,-0.0866,0.3728,0.62041,0.53293,True,2821.616835936578,True,0.2940001137521673,-0.0013115439337492152,4.706670481422182,-0.05819849976930014,0.2940001137521673,0.0025569248205660755,4.147670481422182,0.11594791557077233
Ziyang,CN,30.12108,104.64811,905729,365,0.155723199999444,True,397.6422424316406,1107.0,13.09224078736554,1.910309214687527,15.5723199999444,10.05,7.14,0.4584,0.7209,0.0,0.00045,False,2374.30973614629,True,0.12004772396763427,0.0035804700740927897,12.087240787365541,0.013590126089638277,0.12004772396763427,0.002534405003566831,12.37824078736554,0.00953641150434198
Santo Domingo,DO,18.47186,-69.89232,2201941,24,0.4312265999999539,True,390.5118103027344,1644.0,3.8147554741741487,0.9185420873771836,43.12265999999539,7.96,3.45,0.363,0.3488,0.0,0.00231,False,1438.7679978341882,True,0.3070350909936708,0.005668368364761089,3.0187554741741485,0.30089563250482243,0.3070350909936708,0.0024497493120357317,3.4697554741741485,0.12786122716530457
Baoshan,CN,31.40845,121.48956,2265900,5,0.0563865307407588,True,330.9303894042969,1075.0,3.418020904860043,3.0932227372328467,5.63865307407588,8.63,6.51,0.3939,0.6576,0.0,0.00162,False,2592.265027106618,True,0.12817790728497164,0.00324587238665347,2.555020904860043,0.014040445895581538,0.12817790728497164,0.0024421027118616268,2.7670209048600434,0.010493925871186999
Barranquilla,CO,10.96854,-74.78132,1206319,24,0.09359839,True,337.7365417480469,947.0,5.737392233157891,2.8900111171520977,9.359839,2.41,6.23,0.11,0.6294,0.16135,0.02112,False,1089.8100371224407,True,0.13105470970353966,0.0009166252432443178,5.496392233157891,0.004077050391009085,0.13105470970353966,0.002380666559973016,5.114392233157891,0.010716723546181917
Cebu City,PH,10.31672,123.89071,965332,37,0.3347104821106495,True,322.85845947265625,1493.0,0.3356984817273769,2.9997171038362787,33.471048211064954,6.39,9.82,0.2918,0.9923,0.0,0.0,False,4473.588232021719,True,0.2835265651794575,0.002276329626615059,0.0,0.09145172551875103,0.2835265651794575,0.002276329626615059,0.0,0.09145172551875103
Surabaya,ID,-7.24917,112.75083,2874314,8,0.1756715000089241,True,203.4541473388672,1663.0,2.3346303501945727,3.964466797522865,17.567150000892408,9.27,2.75,0.4229,0.2774,0.0,0.32501,False,3419.707901060991,True,0.39425643036497254,0.0073956596156532495,1.4076303501945728,0.7892618613272528,0.39425643036497254,0.0021890830526307137,2.0596303501945727,0.23040356453820188
Seoul,KR,37.566,126.9784,10349312,38,0.1291627050768389,True,339.9872131347656,1315.0,9.628442816815491,4.389469306861391,12.91627050768389,-1.45,6.33,-0.066,0.6391,0.09208,0.0,True,2235.3635657527548,True,0.1155377233384598,-0.000492503189135185,9.773442816815491,-0.0016773700078400455,0.1155377233384598,0.002171544490339586,8.995442816815492,0.0075613072823035865
Weinan,CN,34.50355,109.50891,1199290,354,0.1088599,True,271.04229736328125,583.0,1.1139085984588633,3.928875819636614,10.88599,-0.75,4.47,-0.0341,0.4515,0.38691,0.00051,True,1924.6230408992074,True,0.15768643389098527,-0.00033143797466100855,1.1889085984588632,-0.0022399898292904674,0.15768643389098527,0.0019871487264553622,0.6669085984588633,0.013679027035053193
Alexandria,EG,31.20176,29.91582,5263542,9,0.106489699999422,True,223.88836669921875,175.0,6.28671702143896,1.4910171735848954,10.6489699999422,-1.21,3.28,-0.0554,0.331,0.04723,0.00306,True,1633.112724145925,True,0.22997029683447354,-0.0007127479417105842,6.407717021438961,-0.014136692985388777,0.22997029683447354,0.0019398839931569212,5.95871702143896,0.039189965046421804
Sapporo,JP,43.06667,141.35,1973832,26,0.1806720360283885,True,164.8000030517578,1209.0,0.9918364232852924,12.62179004769341,18.06720360283885,9.32,5.42,0.4251,0.5472,0.0,0.0089,False,2611.4565494391686,True,0.11973258130766293,0.0033098460850499167,0.05983642328529237,0.01246974383241145,0.11973258130766293,0.0019153563651006927,0.4498364232852925,0.007132976064779389
Nantong,CN,32.03028,120.87472,2273326,6,0.0583333852838798,True,215.8314666748047,1032.0,3.006027313649213,5.051191452121848,5.83333852838798,4.25,3.8,0.1938,0.3838,4e-05,0.07538,False,2505.1246731865717,True,0.1827601729327332,0.002123299335519191,2.581027313649213,0.021596204447683176,0.1827601729327332,0.0018975796545036838,2.626027313649213,0.01926709992954212
Auckland,NZ,-36.84853,174.76349,1547200,43,0.1584837125632816,True,421.1944580078125,1351.0,27.13054093232625,0.6990959187734161,15.84837125632816,7.18,6.18,0.3277,0.6243,0.0,0.0,False,3509.1658074095512,True,0.101268245898653,0.0021969053446709574,26.41254093232625,0.00603176569673089,0.101268245898653,0.0018884217915555307,26.512540932326253,0.005171336341284277
Xianyang,CN,34.33778,108.70261,1034081,387,0.0907892488942864,True,288.21337890625,607.0,3.0365453574426056,3.281209554576678,9.07892488942864,-0.96,4.47,-0.0437,0.4512,0.2044,0.00014,True,1931.185663705445,True,0.14529362538624271,-0.00039653947028889247,3.1325453574426056,-0.002197950208135735,0.14529362538624271,0.0018582591460782338,2.5895453574426055,0.010488647528969441
Hamamatsu,JP,34.7,137.73333,791707,3,0.7980442000000426,True,282.1000061035156,2021.0,0.2441443503471987,5.597182522288186,79.80442000000426,2.96,2.55,0.1353,0.2575,0.0,0.00243,False,3059.209249092183,True,0.3491192316542594,0.0018496808038376833,0.0,0.1428567062844337,0.3491192316542594,0.0018496808038376833,0.0,0.1428567062844337
Karachi,PK,24.8608,67.0104,11624219,8,0.2104098999919154,True,214.9311370849609,162.0,11.779964904249653,4.867763345184103,21.040989999191535,1.37,4.36,0.0623,0.44,0.09577,0.00276,False,2119.012837245723,True,0.1435331805189991,0.000561737914952759,11.642964904249652,0.0030500824823067596,0.1435331805189991,0.0017940701482725974,11.343964904249653,0.009838696552892823
Shanghai,CN,31.22222,121.45806,24874500,12,0.05296031,True,228.84739685058597,1049.0,0.2899214160372594,3.107094983087166,5.296030999999999,8.63,6.51,0.3939,0.6576,0.0,0.00162,False,2609.8216483836386,True,0.24169870341881028,0.0017738693845824882,0.0,0.041996342892522964,0.24169870341881028,0.0017738693845824882,0.0,0.041996342892522964
Tainan,TW,22.99083,120.21333,1856642,26,0.6576578501474174,True,208.47552490234372,2245.0,4.486152437628789,5.071396979016769,65.76578501474174,2.67,1.92,0.1217,0.1935,0.0,0.01375,False,3422.2511851743884,True,0.4951055488073359,0.0022226440888672983,4.2191524376287886,0.2955248055575659,0.4951055488073359,0.001598291408141994,4.294152437628789,0.21255365122679848
Kitakyushu,JP,33.85181,130.85034,940978,57,0.2292976253441503,True,391.7000122070313,1721.0,0.4882887006943406,5.658078522498746,22.92976253441503,3.79,4.03,0.173,0.407,2e-05,0.00537,False,2770.9823055063534,True,0.13565104188150426,0.001486591131866638,0.1092887006943406,0.007159243677548055,0.13565104188150426,0.0015811886174426637,0.08528870069434058,0.007620687200165455
Lanzhou,CN,36.05701,103.83987,3000000,1521,0.0837336089308837,True,243.3724822998047,334.0,17.456321049820758,3.397202569436719,8.373360893088371,1.35,4.87,0.0617,0.4924,0.01608,4e-05,False,1715.785894572369,True,0.106565346687678,0.00042877047781396393,17.321321049820757,0.00126739743387555,0.106565346687678,0.0015538970702668464,16.96932104982076,0.004636621058896784
Hiroshima,JP,34.4,132.45,1200754,16,0.350937245802441,True,207.5,1907.0,0.6408789196613043,5.409366507511519,35.0937245802441,-0.01,1.92,-0.0005,0.1934,0.98117,0.02936,True,2799.798757916498,True,0.4147114489219935,-8.082748283122498e-06,0.6418789196613043,-0.0009339751088823789,0.4147114489219935,0.0015527334955716676,0.44887891966130433,0.18000768289571667
Davao,PH,7.07306,125.61278,1848947,13,0.4845108999999862,True,238.9282684326172,1920.0,0.6103608758679115,2.289362460020071,48.45108999999862,0.86,1.82,0.0392,0.1836,0.17907,0.16454,False,4072.647074546431,True,0.5353409432689337,0.0007123005862429421,0.5243608758679116,0.08871147523775846,0.5353409432689337,0.0015072529700153048,0.42836087586791155,0.18752033529750278
