table,raw_line,change_2021_minus_2020_m,change_2022_minus_2021_m,direction_2022,source_url
table5_ward_area,〃 40 〃 第３ 291～306 -5.67 -5.24 -4.94 -4.64 0.30 0.30,0.3,0.3,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 48 小 島 第１ 37～ 40 -2.67 -2.44 -2.23 -2.21 0.21 0.02,0.21,0.02,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 49 〃 第２ 70～ 77 -3.61 -3.24 -3.01 -2.91 0.23 0.10,0.23,0.1,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 50 〃 第３ 123～134 -3.58 -3.18 -2.95 -2.83 0.23 0.12,0.23,0.12,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 51 〃 第４ 212～229 -3.68 -3.28 -3.03 -2.91 0.25 0.12,0.25,0.12,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 52 篠 崎 第１ 55～ 60 -1.50 -1.55 -1.20 -1.21 0.35 -0.01,0.35,-0.01,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 53 〃 第２ 250～260 1.5 -6.35 -6.03 -5.61 -5.23 0.42 0.38,0.42,0.38,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 54 〃 第３ 300～315 -6.39 -6.07 -5.69 -5.32 0.38 0.37,0.38,0.37,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 32 新 足 立 224～234 0.0 -5.34 -5.25 -4.72 -4.31 0.53 0.41,0.53,0.41,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 55 伊 興 87～115 3.4 -4.98 -6.28 -4.94 -4.20 1.34 0.74,1.34,0.74,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,足 研 42 神 明 南 第１ 99～104 -7.57 -7.58 -6.62 -6.21 0.96 0.41,0.96,0.41,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 43 〃 第２ 170～177 1.2 -9.02 -9.62 -8.24 -7.73 1.38 0.51,1.38,0.51,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 44 〃 第３ 304～330 -5.87 -5.66 -5.25 -4.85 0.41 0.40,0.41,0.4,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,立 研 103 小 台 第１ 40～ 45 -2.32 -2.48 -2.18 -1.87 0.30 0.31,0.3,0.31,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 104 〃 第２ 148～160 1.5 -3.02 -2.77 -2.53 -2.20 0.24 0.33,0.24,0.33,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 105 〃 第３ 212～234 -2.62 -2.27 -2.05 -1.75 0.22 0.30,0.22,0.3,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,区 研 62 舎 人 第１ 22～ 27 -4.58 -4.52 -7.97 -7.83 -3.45 0.14,-3.45,0.14,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 63 〃 第２ 172～184 3.4 -4.94 -6.57 -4.97 -4.18 1.60 0.79,1.6,0.79,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 64 〃 第３ 290～302 -2.25 -2.36 -1.72 -1.25 0.64 0.47,0.64,0.47,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,葛 飾 区 研 41 高 砂 118～123 1.3 -5.82 -5.51 -4.98 -4.69 0.53 0.29,0.53,0.29,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 24 戸 田 橋 第１ 258～268 4.49 4.86 5.19 5.65 0.33 0.46,0.33,0.46,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,板 〃 25 〃 第２ 103～113 2.9 0.20 -0.72 0.19 0.74 0.91 0.55,0.91,0.55,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 26 〃 第３ 51～ 59 -0.05 -1.13 -0.27 0.36 0.86 0.63,0.86,0.63,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,橋 研 36 板 橋 188～199 28.6 3.88 4.07 4.36 4.63 0.29 0.27,0.29,0.27,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 56 上 赤 塚 第１ 111～122 7.38 7.03 7.90 8.08 0.87 0.18,0.87,0.18,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,区 〃 57 〃 第２ 189～211 27.4 9.92 10.82 11.29 11.80 0.47 0.51,0.47,0.51,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 58 〃 第３ 327～355 9.89 10.88 11.20 11.83 0.32 0.63,0.32,0.63,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 34 練 馬 第１ 87～ 97 16.84 16.29 17.58 17.55 1.29 -0.03,1.29,-0.03,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 35 〃 第２ 185～195 13.59 14.38 14.80 14.93 0.42 0.13,0.42,0.13,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,新 宿 区 研 33 新 宿 114～125 32.9 11.28 11.49 12.07 12.16 0.58 0.09,0.58,0.09,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,杉 並 区 研 110 杉 並 115～143 37.1 28.03 27.26 27.90 28.03 0.64 0.13,0.64,0.13,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,世 田 谷区 研 111 世 田 谷 87～109 41.2 34.94 33.83 35.20 34.90 1.37 -0.30,1.37,-0.3,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,目 黒 区 研 112 目 黒 125～147 17.3 14.71 14.63 14.46 14.61 -0.17 0.15,-0.17,0.15,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 113 千 代 田 第１ 19～ 28 6.70 6.44 6.58 6.66 0.14 0.08,0.14,0.08,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 114 〃 第２ 92～109 4.86 4.56 5.00 4.80 0.44 -0.20,0.44,-0.2,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 59 東久 留米 第１ 85～ 90 18.47 17.19 18.57 18.78 1.38 0.21,1.38,0.21,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,東久留米市 〃 60 〃 第２ 158～169 39.8 19.01 19.73 20.81 21.55 1.08 0.74,1.08,0.74,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 61 〃 第３ 393～417 20.77 22.24 22.73 23.53 0.49 0.80,0.49,0.8,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 67 調 布 第１ 20～ 25 28.59 27.75 28.40 27.93 0.65 -0.47,0.65,-0.47,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 68 〃 第２ 43～ 53 22.12 22.27 22.98 23.46 0.71 0.48,0.71,0.48,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 69 〃 第３ 84～ 95 21.35 21.70 22.38 23.02 0.68 0.64,0.68,0.64,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 70 〃 第４ 146～162 22.22 22.82 23.52 24.06 0.70 0.54,0.7,0.54,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 71 清 瀬 第１ 77～ 83 23.54 22.45 23.20 23.35 0.75 0.15,0.75,0.15,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,清 瀬 市 〃 72 〃 第２ 158～186 44.2 17.12 17.55 18.33 19.09 0.78 0.76,0.78,0.76,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 73 〃 第３ 385～407 20.11 21.45 21.95 22.68 0.50 0.73,0.5,0.73,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 74 東 大 和 第１ 75～ 81 57.85 59.25 59.43 60.21 0.18 0.78,0.18,0.78,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,東 大 和市 〃 75 〃 第２ 154～165 97.2 31.49 33.23 33.99 35.10 0.76 1.11,0.76,1.11,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 76 〃 第３ 226～248 26.42 27.73 28.48 29.71 0.75 1.23,0.75,1.23,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 77 立 川 第１ 90～102 71.18 71.17 71.71 72.00 0.54 0.29,0.54,0.29,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 78 〃 第２ 238～255 70.85 70.91 71.34 71.74 0.43 0.40,0.43,0.4,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 79 小 金 井 第１ 71～ 83 26.19 27.54 28.25 29.16 0.71 0.91,0.71,0.91,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 80 〃 第２ 140～151 71.3 27.75 28.52 29.17 30.00 0.65 0.83,0.65,0.83,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,小 金 井市 〃 81 〃 第３ 243～259 30.56 31.62 32.17 33.14 0.55 0.97,0.55,0.97,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 108 小金 井南 第１ 114～125 30.77 30.73 31.65 31.85 0.92 0.20,0.92,0.2,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 109 〃 第２ 167～189 30.46 30.40 31.49 31.55 1.09 0.06,1.09,0.06,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 82 武蔵 村山 第１ 94～100 97.61 96.42 96.68 96.55 0.26 -0.13,0.26,-0.13,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,武蔵村山市 〃 83 〃 第２ 164～175 124.5 69.01 69.15 69.24 70.63 0.09 1.39,0.09,1.39,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 84 〃 第３ 254～265 64.75 64.70 64.91 65.83 0.21 0.92,0.21,0.92,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 85 府 中 第１ 28～ 33 56.13 53.74 54.48 54.62 0.74 0.14,0.74,0.14,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,府 中 市 〃 86 〃 第２ 142～153 69.0 50.46 49.65 50.25 50.86 0.60 0.61,0.6,0.61,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 87 〃 第３ 213～241 38.85 42.12 42.56 44.94 0.44 2.38,0.44,2.38,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 88 東 村 山 第１ 37～ 42 58.33 57.12 57.94 57.50 0.82 -0.44,0.82,-0.44,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,東 村 山市 〃 89 〃 第２ 170～181 62.7 30.09 31.41 31.92 33.12 0.51 1.20,0.51,1.2,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 90 〃 第３ 257～273 25.19 26.76 27.23 28.37 0.47 1.14,0.47,1.14,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 91 八 王 子 第１ 88～100 88.81 88.67 89.04 89.00 0.37 -0.04,0.37,-0.04,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 92 〃 第２ 148～175 88.67 88.51 88.89 88.89 0.38 0.00,0.38,0.0,flat,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 93 瑞 穂 第１ 76～ 93 88.77 89.07 88.91 89.42 -0.16 0.51,-0.16,0.51,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 94 〃 第２ 142～169 82.39 82.30 82.66 83.01 0.36 0.35,0.36,0.35,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,多 摩 市 研 115 新 多 摩 92～125 49.5 50.81+ 50.81+ 54.78 55.23 (+) 0.45,55.23,0.45,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,稲 城 市 研 96 稲 城 189～211 36.7 35.50 30.26 31.44 35.06 1.18 3.62,1.18,3.62,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 97 町 田 第１ 72～ 84 59.16 59.17 59.26 58.97 0.09 -0.29,0.09,-0.29,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 98 〃 第２ 147～169 34.10 34.10 34.27 34.24 0.17 -0.03,0.17,-0.03,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 106 町 田 南 第１ 42～ 53 30.48 30.52 30.86 30.64 0.34 -0.22,0.34,-0.22,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 107 〃 第２ 176～203 37.39 37.51 37.72 37.86 0.21 0.14,0.21,0.14,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 99 三 鷹 第１ 97～113 22.74 23.31 24.53 25.15 1.22 0.62,1.22,0.62,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 100 〃 第２ 178～233 16.85 17.47 17.94 18.98 0.47 1.04,0.47,1.04,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,研 101 昭 島 第１ 92～103 70.86 70.82 71.19 71.94 0.37 0.75,0.37,0.75,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_tama_area,〃 102 〃 第２ 187～210 66.88 66.84 66.96 68.10 0.12 1.14,0.12,1.14,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
