name,country,lat,lon,population,population_million,P0,dP,dP_lo,dP_hi,p_two_zero_aware,zero_exact_dP,fdr_bh_zero_aware,fdr_by_zero_aware,material_bh_zero_aware,material_by_zero_aware,static_counterfactual_tier,observed_tier_bh,observed_tier_by,direction_side,ab_followup_bh,ab_followup_by,detectable_update_bh,detectable_update_by,screening_tier,policy_action,susceptibility_proxy_count
Ciudad Guayana,VE,8.35122,-62.64102,978202,0.978202,0.0446043151604602,0.004915952855939,0.0017313225857529,0.0086130693844601,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,1
Haikou,CN,20.03421,110.34651,2873358,2.873358,0.2253662420315492,0.0048257107875001,0.0010604850959056,0.0083566162214119,0.008,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Jing’an,CN,31.22,121.41583,936500,0.9365,0.3096699605681585,0.0047006544213692,0.0013615147921282,0.0086019015606938,0.0004999999999999,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Vijayawada,IN,16.50745,80.6466,1143232,1.143232,0.0604693150029867,0.0045902708923863,0.0016284815563342,0.0078356205976431,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Zhabei,CN,31.25861,121.45972,840000,0.84,0.2809287858449564,0.0044447278430762,0.0012136954300911,0.0078690591103459,0.0015,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Kaifeng,CN,34.7986,114.30742,1451741,1.451741,0.0790101665866817,0.0043969392064603,0.0018921885863275,0.0043969392064603,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Qinhuangdao,CN,39.94104,119.58936,759718,0.759718,0.2269505878939417,0.0042830898810408,0.0015137770350567,0.0068465577570488,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Nagoya,JP,35.18147,136.90641,2332176,2.332176,0.2520813183052804,0.0041915709353172,0.0014601161438896,0.0073164946180869,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Putuo,CN,31.251,121.3897,1239100,1.2391,0.2356938019343586,0.003967574017243,0.0011085859492778,0.0072150865603816,0.0009999999999998,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Hanzhong,CN,33.07507,107.02214,1006557,1.006557,0.2190058844460397,0.003910982978689,0.0012029459282103,0.0067580173646172,0.0009999999999998,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
