city_row_id,name,country,lat,lon,population,pga,wtd,tws_cm_yr,reversal,dP,dP_lo,dP_hi,p_two,ci_excl0,fdr_sig,pga_475_g,vs30,precip,dw_km,is_material_hotspot,ghsl_uc_id,ghsl_uc_name,ghsl_country_name,ghsl_area_km2,ghsl_pop_2025,ghsl_match_method,distance_to_ghsl_centroid_km,ghsl_matched
46,Budta,PH,7.20417,124.43972,1273715,0.5609091576962117,1.007095445182017,0.3983,False,0.0028907748123359,0.0007181867105477,0.0053559100879757,0.0055,True,True,0.5609091576962117,207.1705474853516,2365.0,9.336091396501567,False,5596.0,Midsayap,Philippines,23.0,87377.6063,nearest_representative_point_le50km,9.034352597361963,True
47,Mombasa,KE,-4.05466,39.66359,1208333,0.0996536100001263,18.50919356069278,0.5269,False,0.0028114281985759,0.0011204678584026,0.004696259038271,0.0,True,True,0.0996536100001263,238.92295837402344,1085.0,2.087189820522016,False,2902.0,Mombasa,Kenya,181.0,1617738.965,within_polygon,0.0,True
48,Chennai,IN,13.08784,80.27847,4681087,0.08934973,8.041504539559014,0.4167,False,0.0026832935777019,0.0010730789082865,0.0045235594281931,0.0,True,True,0.08934973,253.99093627929688,1239.0,1.7356817920194747,False,10300.0,Chennai,India,1052.0,11466400.34,within_polygon,0.0,True
49,Cartagena,CO,10.39817,-75.49328,914552,0.0708730299999999,10.849164568551204,0.6294,False,0.0026785270490979,0.0004797008400966,0.0053139105911917,0.0204999999999999,True,True,0.0708730299999999,275.66290283203125,1175.0,3.375842669104645,False,3275.0,Cartagena,Colombia,114.0,925945.2183,within_polygon,0.0,True
50,Virār,IN,19.45591,72.81136,1222390,0.1198278828077522,0.5951018539711868,1.4173,False,0.0025991780956606,0.0019959944961017,0.0025991780956606,0.0,True,True,0.1198278828077522,334.1005249023437,1913.0,5.855155470481908,False,7563.0,Vasai-Virar,India,128.0,1551310.96,within_polygon,0.0,True
51,Mandalay,MM,21.97473,96.08359,1208099,0.3333079,4.516670481422182,0.3728,True,0.0025833231311815,-0.0031775825944254,0.0088124923529758,0.5660000000000001,False,False,0.3333079,217.5217742919922,792.0,3.9087577784911063,False,2597.0,Mandalay,Myanmar,205.0,1849445.916,within_polygon,0.0,True
52,Ziyang,CN,30.12108,104.64811,905729,0.155723199999444,13.09224078736554,0.7209,False,0.0025591202315673,0.0007583093051363,0.0045653707451619,0.0004999999999999,True,True,0.155723199999444,397.6422424316406,1107.0,1.910309214687527,False,7318.0,Ziyang,China,57.0,516027.5989,within_polygon,0.0,True
53,Santo Domingo,DO,18.47186,-69.89232,2201941,0.4312265999999539,3.8147554741741487,0.3488,False,0.0024767920648013,0.0006809021030615,0.0046060444759537,0.002,True,True,0.4312265999999539,390.5118103027344,1644.0,0.9185420873771836,False,1667.0,Santo Domingo,Dominican Republic,483.0,4593163.695,within_polygon,0.0,True
54,Baoshan,CN,31.40845,121.48956,2265900,0.0563865307407588,3.418020904860043,0.6576,False,0.0024670626082674,0.0006762688745617,0.0044287847171819,0.002,True,True,0.0563865307407588,330.9303894042969,1075.0,3.0932227372328467,False,11345.0,Shanghai,China,3128.0,30678616.23,within_polygon,0.0,True
55,Barranquilla,CO,10.96854,-74.78132,1206319,0.09359839,5.737392233157891,0.6294,False,0.0024053116310744,0.0004476608619669,0.0046132093407682,0.0184999999999999,True,True,0.09359839,337.7365417480469,947.0,2.8900111171520977,False,3968.0,Barranquilla,Colombia,157.0,2166638.375,within_polygon,0.0,True
56,Cebu City,PH,10.31672,123.89071,965332,0.3347104821106495,0.3356984817273769,0.9923,False,0.002276329626615,0.002276329626615,0.002276329626615,0.0,True,True,0.3347104821106495,322.85845947265625,1493.0,2.9997171038362787,False,5065.0,Cebu City,Philippines,416.0,3191585.379,within_polygon,0.0,True
57,Surabaya,ID,-7.24917,112.75083,2874314,0.1756715000089241,2.3346303501945727,0.2774,False,0.0022082061862322,-0.0010019565736869,0.0058522855372327,0.3149999999999999,False,False,0.1756715000089241,203.4541473388672,1663.0,3.964466797522865,False,7459.0,Surabaya,Indonesia,1304.0,6856993.107,within_polygon,0.0,True
58,Seoul,KR,37.566,126.9784,10349312,0.1291627050768389,9.628442816815491,0.6391,True,0.0021926419501853,0.0007829412458853,0.0037572449414291,0.0,True,True,0.1291627050768389,339.9872131347656,1315.0,4.389469306861391,False,348.0,Seoul,South Korea,2282.0,22261691.61,within_polygon,0.0,True
59,Weinan,CN,34.50355,109.50891,1199290,0.1088599,1.1139085984588633,0.4515,True,0.002007256314618,0.000599620429505,0.0036432630126096,0.0004999999999999,True,True,0.1088599,271.04229736328125,583.0,3.928875819636614,False,8331.0,Weinan,China,47.0,273989.0197,within_polygon,0.0,True
60,Alexandria,EG,31.20176,29.91582,5263542,0.106489699999422,6.28671702143896,0.331,True,0.0019576794418436,0.0005205754538679,0.0035887035945086,0.0015,True,True,0.106489699999422,223.88836669921875,175.0,1.4910171735848954,False,291.0,Alexandria,Egypt,439.0,6931368.874,within_polygon,0.0,True
61,Sapporo,JP,43.06667,141.35,1973832,0.1806720360283885,0.9918364232852924,0.5472,False,0.001933859674291,0.0004334499423983,0.003525010037273,0.01,True,True,0.1806720360283885,164.8000030517578,1209.0,12.62179004769341,False,351.0,Sapporo,Japan,353.0,1931423.54,within_polygon,0.0,True
62,Nantong,CN,32.03028,120.87472,2273326,0.0583333852838798,3.006027313649213,0.3838,False,0.0019166321843848,0.0001011155867964,0.0040727350437453,0.0705,True,True,0.0583333852838798,215.8314666748047,1032.0,5.051191452121848,False,11225.0,Nantong,China,658.0,2608603.798,within_polygon,0.0,True
63,Auckland,NZ,-36.84853,174.76349,1547200,0.1584837125632816,27.13054093232625,0.6243,False,0.0019078322068631,0.0006904732473526,0.0032412682258164,0.0,True,True,0.1584837125632816,421.1944580078125,1351.0,0.6990959187734161,False,1147.0,Auckland,New Zealand,638.0,1623897.767,within_polygon,0.0,True
