pgv_per_pga_k,specific_yield,trend_multiplier,mean_dP,median_abs_dP,mean_hotspot_abs_dP,n_material_increase,n_material_decrease,n_material_any_direction,n_positive,n_negative,hotspot_sign_reversals
80,0.075,0.5,0.00028485623212272046,7.355907177606052e-05,0.00830991977723245,0,0,0,275,154,0
80,0.075,0.8,0.0004369511357377279,0.00011733418714045783,0.013114938586124704,4,3,7,275,154,0
80,0.075,1.0,0.0005327120983320878,0.00014230564545493387,0.016231367230569727,11,5,16,275,154,0
80,0.075,1.2,0.0006172568934158177,0.00016367763957739125,0.01883326829853774,13,7,20,275,154,0
80,0.075,1.5,0.0007149368699006976,0.0002025046147138453,0.021894569980732637,18,9,27,275,154,0
80,0.1,0.5,0.00021825112198378476,5.527863100944432e-05,0.006268729349333128,0,0,0,275,154,0
80,0.1,0.8,0.0003378242087805573,8.813197515514042e-05,0.009926101719165891,1,2,3,275,154,0
80,0.1,1.0,0.00041289266841063873,0.00010998940321381174,0.012323083580330435,3,3,6,275,154,0
80,0.1,1.2,0.0004850784574206359,0.00013020432255091488,0.014688145184226328,6,4,10,275,154,0
80,0.1,1.5,0.000587499657315607,0.00015800131146130473,0.01786396969890679,12,5,17,275,154,0
80,0.15,0.5,0.0001501953647975917,3.692590416360948e-05,0.004203725201376819,0,0,0,275,154,0
80,0.15,0.8,0.00023155735025491366,5.894047352625776e-05,0.006678854539740414,0,0,0,275,154,0
80,0.15,1.0,0.00028485623212272046,7.355907177606052e-05,0.00830991977723245,0,0,0,275,154,0
80,0.15,1.2,0.00033782420878055754,8.813197515514042e-05,0.00992610171916591,1,2,3,275,154,0
80,0.15,1.5,0.000412892668410639,0.00010998940321381174,0.012323083580330435,3,3,6,275,154,0
80,0.2,0.5,0.00011398868417831067,2.7722153805212263e-05,0.0031621161438173165,0,0,0,275,154,0
80,0.2,0.8,0.0001779783182199087,4.427572638416243e-05,0.0050326206024173615,0,0,0,275,154,0
80,0.2,1.0,0.00021825112198378476,5.527863100944432e-05,0.006268729349333128,0,0,0,275,154,0
80,0.2,1.2,0.00025819805849584707,6.625551280660575e-05,0.007496265322637037,0,0,0,275,154,0
80,0.2,1.5,0.0003181344223058808,8.267246257739566e-05,0.009321759664112408,0,2,2,275,154,0
80,0.25,0.5,9.215282121162478e-05,2.2191074914395615e-05,0.002534195313703041,0,0,0,275,154,0
80,0.25,0.8,0.00014438431401711402,3.54545364797277e-05,0.004037479193778135,0,0,0,275,154,0
80,0.25,1.0,0.0001779783182199087,4.427572638416243e-05,0.0050326206024173615,0,0,0,275,154,0
80,0.25,1.2,0.00021028878201247736,5.308013807617414e-05,0.006022197313163808,0,0,0,275,154,0
80,0.25,1.5,0.000258198058495847,6.625551280660575e-05,0.0074962653226370414,0,0,0,275,154,0
100,0.05,0.5,0.00042273669982749207,0.00011829495659659026,0.01275438595057774,3,3,6,275,154,0
100,0.05,0.8,0.0006313573428881565,0.0001749409135960731,0.01948774702950599,14,7,21,275,154,0
100,0.05,1.0,0.0007307685221635762,0.00021772206745452358,0.022683585419191094,23,10,33,275,154,0
100,0.05,1.2,0.0008101489609452838,0.0002470574821454407,0.02496782058985771,27,10,37,275,154,0
100,0.05,1.5,0.0008936340571369821,0.00028488288395257637,0.027986259535255135,35,16,51,275,154,0
100,0.075,0.5,0.0002918814357468019,7.917358390513538e-05,0.008603345862829284,0,1,1,275,154,0
100,0.075,0.8,0.00044731510254181943,0.0001260829701139588,0.013573121716450165,5,4,9,275,154,0
100,0.075,1.0,0.0005451244329512562,0.0001528829800547998,0.016794437300970216,11,5,16,275,154,0
100,0.075,1.2,0.0006313573428881563,0.0001749409135960731,0.019487747029505998,14,7,21,275,154,0
100,0.075,1.5,0.0007307685221635761,0.00021772206745452358,0.0226835854191911,23,10,33,275,154,0
100,0.1,0.5,0.00022368063754093666,5.949797868822545e-05,0.0064910249667278095,0,0,0,275,154,0
100,0.1,0.8,0.00034607758320141346,9.485863440635456e-05,0.0102753762420764,1,2,3,275,154,0
100,0.1,1.0,0.00042273669982749207,0.00011829495659659026,0.01275438595057774,3,3,6,275,154,0
100,0.1,1.2,0.0004964880188903375,0.00013899338126802487,0.015199402456434514,9,5,14,275,154,0
100,0.1,1.5,0.0006010210074912512,0.00016627100216291824,0.01848456906452024,12,6,18,275,154,0
100,0.15,0.5,0.00015393866766698206,3.974449048298515e-05,0.00435341302492568,0,0,0,275,154,0
100,0.15,0.8,0.00023730846691019677,6.343929968095994e-05,0.006915494082799479,0,0,0,275,154,0
100,0.15,1.0,0.0002918814357468019,7.917358390513538e-05,0.008603345862829284,0,1,1,275,154,0
100,0.15,1.2,0.00034607758320141346,9.485863440635456e-05,0.0102753762420764,1,2,3,275,154,0
100,0.15,1.5,0.00042273669982749234,0.00011829495659659026,0.01275438595057774,3,3,6,275,154,0
100,0.2,0.5,0.00011682834908706663,2.983823935976521e-05,0.00327494277657168,0,0,0,275,154,0
100,0.2,0.8,0.00018242383683126856,4.7655293218152196e-05,0.005211529515460452,0,0,0,275,154,0
100,0.2,1.0,0.00022368063754093666,5.949797868822545e-05,0.0064910249667278095,0,0,0,275,154,0
100,0.2,1.2,0.00026458916141893326,7.131262645492529e-05,0.007761415784580435,0,0,0,275,154,0
100,0.2,1.5,0.0003259411586758964,8.898247918809744e-05,0.009650200559084762,0,2,2,275,154,0
100,0.25,0.5,9.444982100765779e-05,2.3884976656389284e-05,0.0026247262019161305,0,0,0,275,154,0
100,0.25,0.8,0.0001479824838553308,3.816081806967686e-05,0.004181294253463729,0,0,0,275,154,0
100,0.25,1.0,0.00018242383683126856,4.7655293218152196e-05,0.005211529515460452,0,0,0,275,154,0
100,0.25,1.2,0.00021552607371520637,5.7131691244406094e-05,0.0062358582143214256,0,0,0,275,154,0
100,0.25,1.5,0.0002645891614189332,7.131262645492529e-05,0.007761415784580442,0,0,0,275,154,0
120,0.05,0.5,0.0004302660413097147,0.0001256148783010092,0.013107309485890119,4,4,8,275,154,0
120,0.05,0.8,0.0006420506905066818,0.000184342412931422,0.020023904801219572,14,7,21,275,154,0
120,0.05,1.0,0.0007426854573853481,0.00022941522997112218,0.02333227016179169,24,10,34,275,154,0
120,0.05,1.2,0.0008229275078595031,0.0002578423407092424,0.02572454871736528,27,11,38,275,154,0
120,0.05,1.5,0.000906743728848555,0.00030003332036040585,0.028895944488650804,35,16,51,275,154,0
120,0.075,0.5,0.0002972878759466521,8.407302765482639e-05,0.00884348562862239,0,1,1,275,154,0
120,0.075,0.8,0.0004552342203591441,0.00013388470778538208,0.013948027608536992,6,4,10,275,154,0
120,0.075,1.0,0.000554574842327402,0.00016220261718020035,0.017255119286022972,12,5,17,275,154,0
120,0.075,1.2,0.0006420506905066818,0.000184342412931422,0.020023904801219575,14,7,21,275,154,0
120,0.075,1.5,0.0007426854573853483,0.00022941522997112218,0.02333227016179169,24,10,34,275,154,0
120,0.1,0.5,0.00022786562972742036,6.317996089911658e-05,0.006672962422481467,0,0,0,275,154,0
120,0.1,0.8,0.0003524180556437793,0.00010072856376869624,0.010561206345987407,1,2,3,275,154,0
120,0.1,1.0,0.0004302660413097147,0.0001256148783010092,0.013107309485890119,4,4,8,275,154,0
120,0.1,1.2,0.0005051914015940688,0.00014746366168644155,0.015617703796263366,10,5,15,275,154,0
120,0.1,1.5,0.000611290768247028,0.00017309078350066787,0.01899275343378303,13,7,20,275,154,0
120,0.15,0.5,0.00015682579493938727,4.2204117883323875e-05,0.004475930588222809,0,0,0,275,154,0
120,0.15,0.8,0.0002417400912526014,6.736516377167136e-05,0.00710916917599904,0,0,0,275,154,0
120,0.15,1.0,0.0002972878759466521,8.407302765482639e-05,0.00884348562862239,0,1,1,275,154,0
120,0.15,1.2,0.0003524180556437793,0.00010072856376869624,0.010561206345987407,1,2,3,275,154,0
120,0.15,1.5,0.0004302660413097148,0.0001256148783010092,0.013107309485890119,4,4,8,275,154,0
120,0.2,0.5,0.00011901881265677335,3.1684835851416e-05,0.0033672916985338316,0,0,0,275,154,0
120,0.2,0.8,0.00018585304967399537,5.060445352166867e-05,0.005357961593201577,0,0,0,275,154,0
120,0.2,1.0,0.00022786562972742036,6.317996089911658e-05,0.006672962422481467,0,0,0,275,154,0
120,0.2,1.2,0.000269510956453831,7.572566900582948e-05,0.007978420266740302,0,1,1,275,154,0
120,0.2,1.5,0.0003319434307131352,9.44888371289909e-05,0.009918987256056873,0,2,2,275,154,0
120,0.25,0.5,9.622204651086672e-05,2.5363157185579474e-05,0.002698826733823892,0,0,0,275,154,0
120,0.25,0.8,0.00015075771025126943,4.0522443921856824e-05,0.004299005420584416,0,0,0,275,154,0
120,0.25,1.0,0.00018585304967399537,5.060445352166867e-05,0.005357961593201577,0,0,0,275,154,0
120,0.25,1.2,0.00021956367941839834,6.066725040768388e-05,0.00641072971192488,0,0,0,275,154,0
120,0.25,1.5,0.00026951095645383084,7.572566900582948e-05,0.00797842026674031,0,1,1,275,154,0
150,0.05,0.5,0.00043878952535507355,0.0001351832266082752,0.013539379845944279,6,4,10,275,154,0
150,0.05,0.8,0.0006540266325423888,0.00019643426557228497,0.020681232417997894,15,8,23,275,154,0
150,0.05,1.0,0.0007559036013665547,0.00024445332404470096,0.024130504912868337,24,10,34,275,154,0
150,0.05,1.2,0.0008369505003988224,0.000277693379571879,0.026660075869203614,30,11,41,275,154,0
150,0.05,1.5,0.000920800992743536,0.0003214125552086246,0.03002652912617515,38,17,55,275,154,0
150,0.075,0.5,0.0003034543695468143,9.047746284602263e-05,0.009137496348230599,0,2,2,275,154,0
150,0.075,0.8,0.00046418783947087684,0.00014408285259097982,0.014407002185452787,6,5,11,275,154,0
150,0.075,1.0,0.0005652119368483907,0.00017436105476517747,0.017819090536241648,12,5,17,275,154,0
150,0.075,1.2,0.000654026632542389,0.00019643426557228497,0.020681232417997904,15,8,23,275,154,0
150,0.075,1.5,0.0007559036013665549,0.00024445332404470096,0.024130504912868344,24,10,34,275,154,0
150,0.1,0.5,0.00023264805517638835,6.799297891127735e-05,0.006895716603240086,0,0,0,275,154,0
150,0.1,0.8,0.00035963435369939785,0.00010840156967366864,0.010911151068641873,1,2,3,275,154,0
150,0.1,1.0,0.00043878952535507355,0.0001351832266082752,0.013539379845944279,6,4,10,275,154,0
150,0.1,1.2,0.0005150109897158253,0.00015851356722587618,0.01612978435553291,10,5,15,275,154,0
150,0.1,1.5,0.0006228145755312396,0.00018436290062071817,0.019615479453332817,14,7,21,275,154,0
150,0.15,0.5,0.00016012773548653664,4.5419309444016086e-05,0.004625934025013659,0,0,0,275,154,0
150,0.15,0.8,0.00024680263808263535,7.249697549300063e-05,0.0073462940021254974,0,0,0,275,154,0
150,0.15,1.0,0.0003034543695468143,9.047746284602263e-05,0.009137496348230599,0,2,2,275,154,0
150,0.15,1.2,0.00035963435369939785,0.00010840156967366864,0.010911151068641873,1,2,3,275,154,0
150,0.15,1.5,0.00043878952535507404,0.0001351832266082752,0.013539379845944279,6,4,10,275,154,0
150,0.2,0.5,0.00012152448787729448,3.4098686508793156e-05,0.003480357717753041,0,0,0,275,154,0
150,0.2,0.8,0.00018977550486750836,5.445954972160979e-05,0.005537245008689101,0,0,0,275,154,0
150,0.2,1.0,0.00023264805517638835,6.799297891127735e-05,0.006895716603240086,0,0,0,275,154,0
150,0.2,1.2,0.00027512933649715104,8.149430150578116e-05,0.008244107267465271,0,1,1,275,154,0
150,0.2,1.5,0.0003387816770936902,0.00010168660146635407,0.010248068021007535,0,2,2,275,154,0
150,0.25,0.5,9.824984486335242e-05,2.7295420832322646e-05,0.002789550139589113,0,0,0,275,154,0
150,0.25,0.8,0.00015393173925916436,4.360953016858504e-05,0.0044431240780688315,0,0,0,275,154,0
150,0.25,1.0,0.00018977550486750836,5.445954972160979e-05,0.005537245008689101,0,0,0,275,154,0
150,0.25,1.2,0.00022417874258375,6.528886917692741e-05,0.00662483281732532,0,0,0,275,154,0
150,0.25,1.5,0.00027512933649715104,8.149430150578116e-05,0.008244107267465271,0,1,1,275,154,0
