name,country,baseline_csr_recent_tws_cm_yr,baseline_sign,cpc_corrected_recent_gws_cm_yr,cpc_corrected_full_gws_cm_yr,csr_tws_ols_2014_2024_cm_yr,csr_tws_theilsen_2014_2024_cm_yr,csr_tws_ols_2015_2024_cm_yr,csr_tws_theilsen_2015_2024_cm_yr,csr_tws_ols_2016_2024_cm_yr,csr_tws_theilsen_2016_2024_cm_yr,csr_tws_ols_2018_2024_cm_yr,csr_tws_theilsen_2018_2024_cm_yr,n_available_driver_signs,n_available_signs_matching_baseline,available_sign_agreement_fraction,available_sign_agreement_grade,sign_drivers_used
Multan,PK,0.1093,1,-0.6966,-0.5363,-0.04213769630576619,0.10225404840766997,0.10932191611720918,0.31518377412202253,0.4342981333466721,0.7566354491676575,1.6826924637065426,1.8245336979877995,10,7,0.7,available-probable,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Liaocheng,CN,1.6904,1,0.2362,-1.6525,1.051470642994205,1.2434377805491543,1.6903779642630947,1.908655743598454,2.3415316748492345,2.5832048484904075,5.321358364111892,5.1211335236459785,10,9,0.9,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Valencia,VE,1.6437,1,3.6909,1.5241,1.289036509550354,1.3138453898067355,1.6436811435025775,1.6604265560924234,1.7452865964417603,1.7422769608037694,1.571326795935771,1.5574130227020788,10,10,1.0,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Kallakurichi,IN,1.7572,1,0.7265,-0.3996,1.730617345422696,1.8927621072194638,1.7571988121180826,1.958572179134067,2.1982036051742817,2.358536632992852,3.5288878485572264,3.55308655450255,10,9,0.9,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Heze,CN,0.9261,1,-0.241,-1.202,0.9541094323722921,0.9699117483007884,0.9261040446501474,0.9305986216201998,1.4650853397159866,1.541365157159921,3.1089072451884157,3.007514082162916,10,8,0.8,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Shivaji Nagar,IN,2.5294,1,1.5032,0.1612,2.028223421463545,1.8944741969577117,2.5293794363252093,2.3724806466420305,2.8556285323397437,2.7282785651557995,2.3488063106014874,2.0462193778797033,10,10,1.0,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Caracas,VE,1.2007,1,2.4225,1.7408,0.8965559216971157,0.8724360672068727,1.2007253594039853,1.1372590578674542,1.2825004892839489,1.1619380297747268,1.0126223974635316,0.9425173928239935,10,10,1.0,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Baoshan,CN,0.4075,1,-0.2487,-0.1473,0.43883363935627645,0.41329329114452223,0.40748825307823755,0.3912109869077025,0.39474826832122256,0.3808520078957806,0.24281520684557995,0.18830360679138874,10,8,0.8,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Handan,CN,2.7657,1,1.416,-2.8552,1.5581922255478224,1.4187834512066417,2.765671068841639,2.575020823155361,3.8001229675926735,3.530161277619028,6.347624728609588,5.601904223622574,10,9,0.9,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Indore,IN,2.336,1,1.3918,0.4095,1.5462930389612926,1.5682022200789825,2.3360208946338856,2.42715766680933,3.3230096809210736,3.3824593705682484,3.8213528953087947,3.669018212107208,10,10,1.0,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
