name,country,lat,lon,population,elev_m,pga_475_g,seismic,vs30,precip,wtd,dw_km,pgv,grace_trend_cm_yr,grace_se,grace_p,dTWS_cm_total,P_liq_base,P_liq_new,dP_liq,dwtd_m,wtd_new,LSE_base,LSE_new,pop_x_dP
Xuhui,CN,31.19594,121.44709,1109800,11,0.0507968402419307,True,231.6250457763672,1049.0,3.31120775158314,4.619253362715052,5.07968402419307,0.3939,0.0532,0.0,8.63,0.16914971483376806,0.17322697008215984,0.004077255248391781,-0.863,2.44820775158314,0.4917949996945451,0.5259442579001959,4524.937874665199
Accra,GH,5.55602,-0.1969,1963264,33,0.0840799599994307,True,338.271240234375,925.0,11.53582055390251,11.697926397713385,8.40799599994307,2.6367,0.1303,0.0,57.79,0.01899036920626472,0.022927817716784187,0.003937448510519467,-5.778999999999999,5.756820553902512,0.03663723083595792,0.03930032970045429,7730.25091255649
Hanzhong,CN,33.07507,107.02214,1006557,517,0.1400477000011399,True,241.13682556152344,851.0,3.64690623331046,3.7579241939182646,14.00477000011399,0.2854,0.0475,0.0,6.26,0.21900588444603977,0.22259227575546672,0.0035863913094269506,-0.626,3.02090623331046,1.0958430564020571,1.158711125165007,3609.907277242863
Ziyang,CN,30.12108,104.64811,905729,365,0.155723199999444,True,397.6422424316406,1107.0,13.09224078736554,1.910309214687527,15.5723199999444,0.4584,0.0479,0.0,10.05,0.12004772396763427,0.12362819404172706,0.0035804700740927897,-1.005,12.087240787365541,0.21526455533536257,0.22885468142500084,3242.9355797379885
Sapporo,JP,43.06667,141.35,1973832,26,0.1806720360283885,True,164.8000030517578,1209.0,0.9918364232852924,12.62179004769341,18.06720360283885,0.4251,0.0497,0.0,9.32,0.11973258130766293,0.12304242739271284,0.0033098460850499167,-0.932,0.05983642328529237,0.21410637535875043,0.22657611919116188,6533.080117746247
Kalyān,IN,19.2437,73.13554,1262255,10,0.1256955999999282,True,282.4262084960937,2807.0,1.1749446860456487,9.468827724119528,12.56955999999282,0.3283,0.0973,0.00087,7.19,0.16197243727464822,0.1652487156974697,0.0032762784228214936,-0.719,0.45594468604564875,0.436714471405094,0.4610909643531516,4135.498820598545
Fuzhou,CN,26.06139,119.30611,3740000,14,0.051719552891057,True,245.52935791015625,1374.0,6.744487678339851,2.5539335553755724,5.1719552891057,0.2512,0.0713,0.00051,5.51,0.22937965634004787,0.232639079767521,0.0032594234274731237,-0.5509999999999999,6.193487678339851,1.2867353559605152,1.3526488662620064,12190.243618749482
Baoshan,CN,31.40845,121.48956,2265900,5,0.0563865307407588,True,330.9303894042969,1075.0,3.418020904860043,3.0932227372328467,5.63865307407588,0.3939,0.0532,0.0,8.63,0.12817790728497164,0.1314237796716251,0.00324587238665347,-0.863,2.555020904860043,0.24731946823314563,0.26135991412872717,7354.822240918098
Huizhou,CN,23.11147,114.41523,2900113,25,0.0866846999999999,True,333.48883056640625,1854.0,18.49393453879611,0.2290439187071343,8.66846999999999,0.249,0.0579,2e-05,5.46,0.21742360677308598,0.22053314096468635,0.0031095341916003716,-0.546,17.947934538796112,1.0691082661657407,1.1222252261956764,9018.000533004728
Santiago de los Caballeros,DO,19.45036,-70.69085,1200000,209,0.5522715806493135,True,349.0228271484375,1182.0,18.020904859998492,1.893056959046609,55.22715806493135,0.2676,0.0335,0.0,5.86,0.191695307122232,0.19473713936181777,0.003041832239585762,-0.5860000000000001,17.434904859998493,0.7104670070997755,0.7461248216915539,3650.1986875029147
Chongqing,CN,29.56026,106.55771,7457599,289,0.1132862,True,432.7224426269531,1147.0,42.42008087281607,0.3210616400895512,11.32862,0.8095,0.0598,0.0,17.74,0.05270235090401166,0.055730760590675485,0.0030284096866638258,-1.7739999999999996,40.64608087281607,0.06664197014007457,0.07030013463959571,22584.66505085446
Port-au-Prince,HT,18.54349,-72.33881,1234742,27,0.412546161369622,True,422.4088745117188,1195.0,10.833905546654478,0.8166687863346503,41.254616136962206,0.2605,0.0281,0.0,5.71,0.19231560023574856,0.19528638815462057,0.0029707879188720088,-0.571,10.262905546654478,0.7176069933212148,0.752738174546279,3668.156616523862
Malingao,PH,7.16083,124.475,1121974,5,0.5545271999996771,True,208.9109344482422,2223.0,0.3662165255207696,6.959409912321897,55.45271999996771,0.1586,0.032,0.0,3.48,0.41506837508233535,0.4178846238356193,0.0028162487532839564,-0.348,0.018216525520769633,12.99708330292986,13.324903265484608,3159.7578787170137
Virār,IN,19.45591,72.81136,1222390,9,0.1198278828077522,True,334.1005249023437,1913.0,0.5951018539711868,5.855155470481908,11.98278828077522,0.3283,0.0973,0.00087,7.19,0.15397201004333153,0.15657118813899218,0.0025991780956606536,-0.719,0.0,0.38222333381237816,0.39917530233048665,3177.2093123546265
Budta,PH,7.20417,124.43972,1273715,4,0.5609091576962117,True,207.1705474853516,2365.0,1.007095445182017,9.336091396501567,56.090915769621176,0.1586,0.032,0.0,3.48,0.3195365565377467,0.32206150861603233,0.002524952078285625,-0.348,0.6590954451820171,4.604068798181361,4.753796031253063,3216.0693363935748
Ciudad Guayana,VE,8.35122,-62.64102,978202,103,0.0609216311130317,True,438.891357421875,1269.0,24.00244144350347,3.3409581085302,6.09216311130317,0.7751,0.1937,8e-05,16.99,0.044604315160460234,0.047078402651944636,0.0024740874914844016,-1.6989999999999998,22.303441443503473,0.05775283375086602,0.060337316424070836,2420.1573323450248
Barcelona,VE,10.1384,-64.68769,815141,3,0.1565541,True,220.5883636474609,943.0,5.95101853971164,4.488523015994694,15.65541,0.1865,0.1204,0.12257,4.09,0.22435511399956032,0.2267341072318435,0.0023789932322831886,-0.409,5.54201853971164,1.1908004182086602,1.2353845523789246,1939.2149223565507
Neijiang,CN,29.58354,105.06216,1251095,349,0.2026418999999999,True,394.89263916015625,1079.0,41.30617227435727,2.451926539738705,20.26418999999999,0.6695,0.0559,0.0,14.67,0.0494244737783714,0.051770759024929225,0.0023462852465578263,-1.4669999999999999,39.839172274357274,0.06289280557879974,0.06555468539709396,2935.4257405422636
Cebu City,PH,10.31672,123.89071,965332,37,0.3347104821106495,True,322.85845947265625,1493.0,0.3356984817273769,2.9997171038362787,33.471048211064954,0.2918,0.0407,0.0,6.39,0.2835265651794575,0.28580289480607257,0.002276329626615059,-0.6389999999999999,0.0,2.8485222669047148,2.939973992423466,2197.413831119568
Tainan,TW,22.99083,120.21333,1856642,26,0.6576578501474174,True,208.47552490234372,2245.0,4.486152437628789,5.071396979016769,65.76578501474174,0.1217,0.0217,0.0,2.67,0.4951055488073359,0.4973281928962032,0.0022226440888672983,-0.26699999999999996,4.2191524376287886,23.26062348889587,23.556148294453436,4126.654366442758
Auckland,NZ,-36.84853,174.76349,1547200,43,0.1584837125632816,True,421.1944580078125,1351.0,27.13054093232625,0.6990959187734161,15.84837125632816,0.3277,0.0311,0.0,7.18,0.101268245898653,0.10346515124332396,0.0021969053446709574,-0.718,26.41254093232625,0.15581640427344193,0.16184816997017282,3399.0519492749054
Vijayawada,IN,16.50745,80.6466,1143232,47,0.06847776,True,478.8851623535156,907.0,5.859464408331462,3.141960075467141,6.847776,0.5183,0.1209,3e-05,11.36,0.06046931500298672,0.06265454727206471,0.0021852322690779913,-1.136,4.723464408331462,0.07642248339565291,0.07941898918422885,2498.22745744257
Hanoi,VN,21.0245,105.84117,8053663,10,0.08338389,True,273.5119934082031,1628.0,0.3662165255207696,1.9750752720214384,8.338389,0.1367,0.0845,0.10692,3.0,0.3120306007830926,0.31417914585756307,0.002148545074470487,-0.3,0.06621652552076962,4.180661448101431,4.2985854885434716,17303.657970095206
Nantong,CN,32.03028,120.87472,2273326,6,0.0583333852838798,True,215.8314666748047,1032.0,3.006027313649213,5.051191452121848,5.83333852838798,0.1938,0.046,4e-05,4.25,0.1827601729327332,0.18488347226825239,0.002123299335519191,-0.425,2.581027313649213,0.6147022499517593,0.6362984543994424,4826.9515852185
Quezon City,PH,14.6488,121.0509,3084270,49,0.3776324,True,280.5470886230469,2273.0,6.759746700236519,11.550313649240405,37.76324,0.3033,0.0415,0.0,6.65,0.10287323448927357,0.10493500506389836,0.0020617705746247827,-0.665,6.094746700236519,0.1602010932160917,0.16600952564168375,6359.057130197979
Jakarta,ID,-6.21462,106.84513,8540121,16,0.2440006999996528,True,214.3814392089844,2145.0,1.464866102082908,12.46998739766137,24.40006999996528,0.2383,0.0456,0.0,5.22,0.1326802771040632,0.1346934040958977,0.0020131269918345074,-0.5219999999999999,0.942866102082908,0.26699809807207203,0.2762756388386611,17192.348098632705
Ottawa,CA,45.41117,-75.69812,1017449,71,0.1030978999999999,True,348.5962219238281,922.0,13.519493400473038,3.602642792835557,10.309789999999987,0.3367,0.058,0.0,7.38,0.0879345788274279,0.08992563985297866,0.0019910610255507583,-0.738,12.781493400473039,0.12362688639201164,0.12798561379361462,2025.8030493855933
Bandar Lampung,ID,-5.42917,105.26111,1166066,95,0.2649017,True,439.3459167480469,2236.0,20.38605325398646,2.6500488079175253,26.490170000000003,0.2209,0.0635,0.00061,4.84,0.14306230594577038,0.1450495913662469,0.00198728542047652,-0.484,19.90205325398646,0.3182645360226209,0.32909745294660253,2317.305961113374
Taipei,TW,25.05306,121.52639,7871900,5,0.3369818386905979,True,121.80533599853516,3055.0,0.2288853284504739,12.4933029549212,33.69818386905979,0.2414,0.0285,0.0,5.29,0.46087376296387134,0.4627681210275883,0.001894358063716961,-0.529,0.0,18.70979859817906,18.95894748156974,14912.197241773545
Pasig City,PH,14.58691,121.0614,853050,63,0.3756936,True,235.3219757080078,2273.0,34.13443198290992,9.33741833388168,37.56936,0.3033,0.0415,0.0,6.65,0.09217958183859007,0.09404949988210638,0.0018699180435163137,-0.665,33.469431982909924,0.13310037862361887,0.1374940909441881,1595.1335870215914
Hamamatsu,JP,34.7,137.73333,791707,3,0.7980442000000426,True,282.1000061035156,2021.0,0.2441443503471987,5.597182522288186,79.80442000000426,0.1353,0.0193,0.0,2.96,0.3491192316542594,0.3509689124580971,0.0018496808038376833,-0.296,0.0,6.600189487691961,6.743046193976395,1464.4052401639208
Jabalpur,IN,23.16697,79.95006,1081677,416,0.1361818,True,382.1177368164063,1238.0,2.2583352407111192,7.089875175554792,13.61818,0.3763,0.1366,0.00635,8.25,0.06961290146172097,0.07141338672458411,0.0018004852628631385,-0.825,1.4333352407111193,0.08974721859918328,0.09262679580623759,1947.5434976780111
Shanghai,CN,31.22222,121.45806,24874500,12,0.05296031,True,228.84739685058597,1049.0,0.2899214160372594,3.107094983087166,5.296030999999999,0.3939,0.0532,0.0,8.63,0.24169870341881028,0.24347257280339277,0.0017738693845824882,-0.863,0.0,1.552097344982405,1.594093687874928,44124.11400679711
Mombasa,KE,-4.05466,39.66359,1208333,20,0.0996536100001263,True,238.92295837402344,1085.0,18.50919356069278,2.087189820522016,9.965361000012631,0.1408,0.0172,0.0,3.09,0.19898803448474553,0.20063320937651305,0.0016451748917675202,-0.30899999999999994,18.200193560692778,0.7987483083193357,0.8200228919208606,1987.919112494123
Maracaibo,VE,10.64232,-71.61089,1752602,-9999,0.09229294999185,True,600.0,868.0,6.042572671091818,0.4958092525614138,9.229294999185,0.3342,0.0626,0.0,7.32,0.07177900916227815,0.07342012592885895,0.0016411167665807969,-0.732,5.310572671091818,0.0932224828515258,0.09594269062003939,2876.2245273430376
Havana,CU,23.13302,-82.38304,2163824,41,0.0697232325262081,True,328.41571044921875,1315.0,4.592965590905635,2.7575855890063075,6.97232325262081,0.1528,0.0168,0.0,3.35,0.15815498068066472,0.1596459162190834,0.0014909355384186695,-0.335,4.257965590905635,0.40985276553743566,0.4201516394448822,3226.122100483239
Kitakyushu,JP,33.85181,130.85034,940978,57,0.2292976253441503,True,391.7000122070313,1721.0,0.4882887006943406,5.658078522498746,22.92976253441503,0.173,0.0399,2e-05,3.79,0.13565104188150426,0.1371376330133709,0.001486591131866638,-0.379,0.1092887006943406,0.280796764905171,0.2879560085827191,1398.8495500816052
Jiujiang,CN,29.70475,116.00206,1164268,41,0.09921758,True,478.6948852539063,1415.0,1.144426642252256,4.377298825555467,9.921758,0.2529,0.1158,0.02992,5.54,0.08012614447170961,0.0814964619962439,0.001370317524534287,-0.5539999999999999,0.590426642252256,0.10788641156394221,0.11049971830327,1595.416843654485
Quanzhou,CN,24.91389,118.58583,1469157,14,0.0701559140831337,True,282.0137634277344,1158.0,5.935759517814915,3.4805807584817794,7.0155914083133695,0.1341,0.0436,0.00234,2.94,0.1603104550502151,0.1616327105596306,0.0013222555094155042,-0.294,5.641759517814916,0.4248207644485652,0.4342578874431258,1942.6009374463538
Benghazi,LY,32.11486,20.06859,757490,3,0.0783412446839008,True,238.5429229736328,227.0,6.332494087129021,3.9734942709756456,7.83412446839008,0.1609,0.0349,1e-05,3.53,0.12831764450278224,0.129638210706525,0.001320566203742768,-0.353,5.979494087129021,0.2479086855837828,0.25354406476505137,1000.3156936731093
Tangerang,ID,-6.17806,106.63,1912679,18,0.2445076999837557,True,217.17312622070312,2285.0,0.7324330510414825,15.863102948470502,24.45076999837557,0.2383,0.0456,0.0,5.22,0.07596824021472673,0.07719747722349281,0.0012292370087660792,-0.5219999999999999,0.21043305104148258,0.10032061221326992,0.10250172609093922,2351.1358126896957
Fukuoka,JP,33.6,130.41667,1612392,3,0.2703739154132848,True,194.5,1708.0,0.1373311970702957,2.396636241031313,27.03739154132848,0.173,0.0399,2e-05,3.79,0.5548847109336004,0.5560139319724422,0.0011292210388418322,-0.379,0.0,30.847293061579908,30.97969931883572,1820.7469692602594
Panzhihua,CN,26.58509,101.71276,787177,1101,0.1657901999999992,True,576.024169921875,796.0,5.020218204013133,0.4427418883550131,16.579019999999918,0.1709,0.071,0.01689,3.74,0.09280873696784285,0.09386265280481591,0.0010539158369730628,-0.374,4.646218204013134,0.1345632308925411,0.13704879545226867,829.6183068009447
Cartagena,CO,10.39817,-75.49328,914552,20,0.0708730299999999,True,275.66290283203125,1175.0,10.849164568551204,3.375842669104645,7.087302999999991,0.11,0.0783,0.16135,2.41,0.14909125977718016,0.1501122436225681,0.0010209838453879294,-0.241,10.608164568551205,0.35222544209028117,0.3583087302875223,933.7428177672216
Barranquilla,CO,10.96854,-74.78132,1206319,24,0.09359839,True,337.7365417480469,947.0,5.737392233157891,2.8900111171520977,9.359839,0.11,0.0783,0.16135,2.41,0.13105470970353966,0.13197133494678398,0.0009166252432443178,-0.241,5.496392233157891,0.2597256635252211,0.26380271391623017,1105.7424468052423
Guayaquil,EC,-2.19616,-79.88621,2723665,14,0.6265439059161264,True,600.0,1002.0,10.299839780270132,2.146082664993562,62.65439059161264,0.1461,0.0372,0.00012,3.2,0.08881018890459233,0.08967629049393822,0.0008661015893458857,-0.32,9.979839780270131,0.12552562965734168,0.12743166646568374,2358.9705853457617
Yibin,CN,28.7593,104.63994,836340,323,0.2324686612517436,True,390.972900390625,1152.0,67.002365148394,3.38064258936918,23.24686612517436,0.572,0.0573,0.0,12.54,0.019867774914031234,0.020697448223156147,0.0008296733091249127,-1.2539999999999998,65.748365148394,0.037214816882554014,0.037769234710788746,693.8889753535295
Bujumbura,BI,-3.38193,29.36142,769317,807,0.2002549999330951,True,383.5884399414063,1218.0,2.166781109330941,17.005984732151855,20.02549999330951,1.773,0.1151,0.0,38.86,0.010816959400033488,0.011616889419416791,0.000799930019383303,-3.8859999999999997,0.0,0.031664342056195255,0.03212004881903785,615.3997627219045
Bekasi,ID,-6.2349,106.9896,2564940,18,0.2359025999999658,True,233.7062225341797,2145.0,0.793469138628268,17.295904322981052,23.59025999999658,0.2383,0.0456,0.0,5.22,0.04639034089157938,0.04716540899876895,0.0007750681071895665,-0.5219999999999999,0.27146913862826805,0.05960736508101731,0.06043024259495682,1988.0031908548067
Caloocan,PH,14.64953,120.96788,1712945,6,0.3198267016083664,True,240.3080596923828,2258.0,0.091554131380235,2.699549179196848,31.98267016083664,0.3439,0.0445,0.0,7.54,0.5268838785496096,0.5276438003554436,0.0007599218058339519,-0.7539999999999999,0.0,27.413188741197512,27.509782391707652,1301.7042576942388
Davao,PH,7.07306,125.61278,1848947,13,0.4845108999999862,True,238.9282684326172,1920.0,0.6103608758679115,2.289362460020071,48.45108999999862,0.0392,0.0291,0.17907,0.86,0.5353409432689337,0.5360532438551766,0.0007123005862429421,-0.086,0.5243608758679116,28.478510501890717,28.567221977128476,1317.006032032129
Seattle,US,47.60621,-122.33207,780995,56,0.3056356000013193,True,327.0,1004.0,6.8513008316166975,1.0029095226957891,30.56356000013193,0.0478,0.1065,0.65398,1.05,0.2586282815817057,0.25929926501724215,0.0006709834355364541,-0.105,6.746300831616697,1.9960003478439894,2.0156865636931762,524.034708236793
Haiphong,VN,20.86481,106.68345,2625200,12,0.0714270100110461,True,600.0,1694.0,4.53192950331885,2.5877902915309345,7.1427010011046095,0.139,0.0739,0.06146,3.05,0.07056996758035017,0.07123904329030906,0.0006690757099588884,-0.305,4.22692950331885,0.09126681613956926,0.09234405977119095,1756.457553784074
Liupanshui,CN,26.59444,104.83333,1320825,1799,0.1616298438553274,True,562.401123046875,1072.0,0.9918364232852924,10.173406163953889,16.162984385532738,0.4738,0.0741,0.0,10.38,0.0187493752155183,0.01936677916070936,0.0006174039451910598,-1.038,0.0,0.03648014047085898,0.03688392659270611,815.4825659069816
Chiba,JP,35.6,140.11667,979768,5,0.7891407000048927,True,260.20001220703125,1376.0,0.0762951094835102,3.375080387177573,78.91407000048926,0.3753,0.0311,0.0,8.23,0.4113296161094694,0.411944935662313,0.0006153195528436073,-0.823,0.0,12.567842589722694,12.638009005646278,602.8704076504754
Cali,CO,3.43054,-76.5199,2392877,758,0.3503494944669512,True,270.05010986328125,1832.0,0.106813153276903,7.326531954680867,35.03494944669512,0.0725,0.0336,0.03178,1.59,0.21977284906362302,0.2203833645724105,0.0006105155087874903,-0.159,0.0,1.109020256687304,1.119612590041261,1460.8885191208833
Karachi,PK,24.8608,67.0104,11624219,8,0.2104098999919154,True,214.9311370849609,162.0,11.779964904249653,4.867763345184103,21.040989999191535,0.0623,0.0373,0.09577,1.37,0.1435331805189991,0.14409491843395186,0.000561737914952759,-0.13699999999999998,11.642964904249652,0.32080007761954094,0.3238501601018477,6529.764544014246
Qinhuangdao,CN,39.94104,119.58936,759718,2,0.1847800918294732,True,234.6234893798828,614.0,1.1596856641489808,4.0203159583287285,18.47800918294732,0.0395,0.0428,0.3578,0.86,0.2269505878939417,0.22745341732255447,0.0005028294286127666,-0.086,1.0736856641489807,1.2395157305561915,1.2491597216219197,382.0085678468338
Jinjiang,CN,24.81978,118.57415,1416151,33,0.071012860000007,True,456.3364868164063,1112.0,10.009918364232874,4.433820347710244,7.101286000000701,0.1341,0.0436,0.00234,2.94,0.05062822594008854,0.05110086757119074,0.0004726416311022011,-0.294,9.715918364232873,0.06424494541049972,0.06478361357472066,669.3319185270132
Lanzhou,CN,36.05701,103.83987,3000000,1521,0.0837336089308837,True,243.3724822998047,334.0,17.456321049820758,3.397202569436719,8.373360893088371,0.0617,0.0254,0.01608,1.35,0.106565346687678,0.10699411716549197,0.00042877047781396393,-0.135,17.321321049820757,0.17074654646554624,0.1720139438994218,1286.3114334418917
Antipolo,PH,14.62578,121.12251,913712,23,0.3849308817020014,True,341.6148681640625,2273.0,0.3967345693141624,17.099947866912323,38.49308817020014,0.3033,0.0415,0.0,6.65,0.030323246181374098,0.030714126496796817,0.0003908803154227189,-0.665,0.0,0.0448278206066915,0.04514037241838659,357.15203476552335
Ankang,CN,32.68,109.01722,870126,273,0.0616723443335407,True,509.4773864746094,914.0,23.49889372091252,2.1926193258491864,6.16723443335407,0.1512,0.0482,0.00193,3.31,0.03606887194532928,0.036454060055920355,0.0003851881105910726,-0.33099999999999996,23.16789372091252,0.04964427479589757,0.049984791758127076,335.1621899161676
Nanjing,CN,32.06167,118.77778,9314685,22,0.058399089010373,True,239.25901794433597,1044.0,8.865491721980675,7.597868102461106,5.8399089010373,0.0669,0.046,0.14743,1.47,0.08265960941279751,0.08303154925432467,0.0003719398415271552,-0.147,8.718491721980675,0.1127662842795009,0.11350058180352461,3464.5024627753696
