city_row_id,name,country,lat,lon,population,pga,wtd,tws_cm_yr,dP,fdr_sig,gfz_grid_lat,gfz_grid_lon,gfz_nearest_finite_grid_distance_km,gfz_tws_cm_yr,gfz_tws_p,gfz_tws_n_months,gfz_leakage_corrected_tws_cm_yr,gfz_leakage_corrected_p,gfz_leakage_corrected_n_months,gfz_dP_sy010,gfz_leakage_corrected_dP_sy010,csr_sign,gfz_sign,gfz_leakage_corrected_sign,csr_gfz_sign_match,csr_gfz_leakage_corrected_sign_match,gfz_material_sy010,gfz_targeted_sy010,gfz_leakage_corrected_material_sy010,gfz_leakage_corrected_targeted_sy010
30,Qinhuangdao,CN,39.94104,119.58936,759718,0.1847800918294732,1.1596856641489808,0.7283,0.0042830898810408,True,40.5,119.5,62.614954949310196,1.2254918477931105,1.512144894093421e-12,100,1.7895228855064371,0.00026419840313360294,100,0.006846557757048899,0.006846557757048899,1,1,1,True,True,False,True,False,True
31,Nagoya,JP,35.18147,136.90641,2332176,0.4578695,12.802319371328338,0.664,0.0041915709353172,True,35.5,136.5,0.0,0.33170058480444303,0.008110733406667599,100,0.4300172390452864,0.3309279014374253,100,0.002088199545366487,0.002709331977892415,1,1,1,True,True,False,False,False,False
32,Luohe,CN,33.57424,114.03261,1294974,0.0534729595322506,11.520561532005845,0.5955,0.0040014589304054,False,33.5,114.5,0.0,0.7679968477704091,0.002816971721729404,100,3.0417050020379253,3.815840084499993e-05,100,0.005167042809648914,0.02079858158199721,1,1,1,True,True,False,True,True,True
33,Putuo,CN,31.251,121.3897,1239100,0.0503584899999993,2.1972991531243338,0.6576,0.003967574017243,True,31.5,121.5,0.0,0.21687077299127308,0.16718504423176556,100,-0.42229952763216927,0.3715311523348765,100,0.001303432878844768,-0.002523841270473476,1,1,-1,True,False,False,False,False,False
34,Hanzhong,CN,33.07507,107.02214,1006557,0.1400477000011399,3.64690623331046,0.6823,0.003910982978689,True,33.5,107.5,0.0,0.7905914952357601,3.8606579140492733e-05,100,1.5496433313754885,0.006718731761128253,100,0.004536274711244681,0.008954167275999708,1,1,1,True,True,False,False,False,True
35,Benghazi,LY,32.11486,20.06859,757490,0.0783412446839008,6.332494087129021,0.9766,0.0036816993522627,True,31.5,20.5,79.60061856451192,0.21227518248801025,0.013085856222470589,100,0.8380303041297259,0.04814476116360051,100,0.0007927364284753824,0.003153902607240383,1,1,1,True,True,False,False,False,False
36,Accra,GH,5.55602,-0.1969,1963264,0.0840799599994307,11.53582055390251,5.4265,0.0036759540436972,True,5.5,359.5,0.0,2.335878515216206,8.064632390543702e-22,100,5.485942602605625,7.398268699395556e-18,100,0.0015046475072204614,0.0037198451358757614,1,1,1,True,True,False,False,False,False
37,Jabalpur,IN,23.16697,79.95006,1081677,0.1361818,2.2583352407111192,1.6226,0.0035819517574923,True,23.5,79.5,0.0,1.952696218444463,0.0001453695626833199,100,2.448691338561656,0.000809218046320197,100,0.004331141236675842,0.005031107354587741,1,1,1,True,True,False,False,False,True
38,Manila,PH,14.6042,120.9822,1600000,0.3303762000045073,2.838178072785581,0.4215,0.0034897418002498,True,14.5,121.5,56.92141355119396,0.1358844541940611,0.3491664101714155,100,-0.3525971155469815,0.4591578121433882,100,0.0011254274813605747,-0.0029219410065317586,1,1,-1,True,False,False,False,False,False
39,Nanchong,CN,30.79508,106.08473,1858875,0.0702872509812431,21.637293049515563,0.8565,0.0033759501018316,True,30.5,106.5,0.0,0.7247113786971672,0.00046433153371662256,100,0.21123241241846877,0.690837806772397,100,0.0028519426132922743,0.0008261017385288727,1,1,1,True,True,False,False,False,False
40,Linfen,CN,36.08889,111.51889,959198,0.1546868420043955,12.08514534218358,0.9104,0.0033597281576323,True,36.5,111.5,0.0,0.3117645652572205,0.20204450812187896,100,2.75225669950899,0.00013774314652150496,100,0.0011419817071741667,0.010391915246415057,1,1,1,True,True,False,False,True,True
41,Jamshedpur,IN,22.80278,86.18545,1339438,0.1567997419895702,18.08194094758528,1.161,0.003275903248584,True,22.5,86.5,0.0,0.8573144220347524,0.05335052561605953,100,1.3463857461598958,0.06220171806848257,100,0.002409054181765388,0.0038085746771452655,1,1,1,True,True,False,False,False,False
42,Xuhui,CN,31.19594,121.44709,1109800,0.0507968402419307,3.31120775158314,0.6576,0.0030998488024287,True,31.5,121.5,0.0,0.21687077299127308,0.16718504423176556,100,-0.42229952763216927,0.3715311523348765,100,0.001017363911694824,-0.001967142553227802,1,1,-1,True,False,False,False,False,False
43,Maracaibo,VE,10.64232,-71.61089,1752602,0.09229294999185,6.042572671091818,1.3193,0.0029827278373295,True,10.5,288.5,0.0,1.2459444511104651,1.3229679851406648e-07,100,2.8068670930541035,6.785867583726753e-06,100,0.0028139330351636266,0.006482252223405843,1,1,1,True,True,False,False,False,True
44,Malingao,PH,7.16083,124.475,1121974,0.5545271999996771,0.3662165255207696,0.3983,0.0029638183406366,True,7.5,124.5,0.0,-0.11230381323985894,0.4000101452685799,100,-1.1089266185617166,0.031668382800601066,100,-0.0009076638918726898,-0.008936401104268965,1,-1,-1,False,False,False,False,False,True
45,Dalian,CN,38.91222,121.60222,4913879,0.0876957999990944,16.18982223239493,1.3534,0.002896224481439,True,39.5,122.5,101.26839547064503,1.5120010757124225,1.5965047609427406e-17,100,1.9699025949048916,4.170743549447746e-05,100,0.0032430380245803136,0.004253195684324251,1,1,1,True,True,False,False,False,False
46,Budta,PH,7.20417,124.43972,1273715,0.5609091576962117,1.007095445182017,0.3983,0.0028907748123359,True,7.5,124.5,0.0,-0.11230381323985894,0.4000101452685799,100,-1.1089266185617166,0.031668382800601066,100,-0.0008125883303267134,-0.007975149340105236,1,-1,-1,False,False,False,False,False,True
47,Mombasa,KE,-4.05466,39.66359,1208333,0.0996536100001263,18.50919356069278,0.5269,0.0028114281985759,True,-3.5,39.5,64.29086122481611,1.0082295311940086,5.4129751391264906e-09,100,-0.24079142839324294,0.6253424176189164,100,0.0054055488333834,-0.0012749758010573153,1,1,-1,True,False,False,True,False,False
48,Chennai,IN,13.08784,80.27847,4681087,0.08934973,8.041504539559014,0.4167,0.0026832935777019,True,13.5,79.5,95.90179224786579,1.6781645772881424,5.362106537083902e-08,100,5.4778246202017735,1.5215175688961023e-10,100,0.010913752116451902,0.036655755933202805,1,1,1,True,True,True,True,True,True
