name,country,dP,dP_lo,dP_hi,p_two,p_two_zero_aware,zero_exact_dP,fdr_sig,fdr_bh_zero_aware,fdr_by_zero_aware,material_bh_zero_aware,material_by_zero_aware
Barcelona,VE,0.0055937627238466,0.0010259838369734,0.0109662133452184,0.0215,0.0215,False,True,True,False,False,False
Prayagraj,IN,0.005399910094125,0.0015612575336032,0.0101051179925019,0.002,0.002,False,True,True,True,False,False
Kalyān,IN,0.0053812979642205,0.0020564889245797,0.0053812979642205,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Makassar,ID,0.005239330970689,0.0017247287311472,0.0053197165084566,0.0,0.00024993751562109475,False,True,True,True,False,False
Howrah,IN,0.0050947550306674,-0.0013186095983712,0.0126397746681977,0.2224999999999999,0.2224999999999999,False,False,False,False,False,False
Kolkata,IN,0.0050927696458126,-0.0013093987025666,0.0125765557450847,0.2290000000000001,0.2290000000000001,False,False,False,False,False,False
Luzhou,CN,0.0050042128246746,0.001002839819391,0.0097701316210069,0.0169999999999999,0.0169999999999999,False,True,True,False,False,False
Ranchi,IN,0.004955914891752,0.0007176902001159,0.0095665109793553,0.0324999999999999,0.0324999999999999,False,True,True,False,False,False
Ciudad Guayana,VE,0.004915952855939,0.0017313225857529,0.0086130693844601,0.0,0.00024993751562109475,False,True,True,True,False,False
Haikou,CN,0.0048257107875001,0.0010604850959056,0.0083566162214119,0.008,0.008,False,True,True,True,False,False
Jing’an,CN,0.0047006544213692,0.0013615147921282,0.0086019015606938,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Vijayawada,IN,0.0045902708923863,0.0016284815563342,0.0078356205976431,0.0,0.00024993751562109475,False,True,True,True,False,False
Zhabei,CN,0.0044447278430762,0.0012136954300911,0.0078690591103459,0.0015,0.0015,False,True,True,True,False,False
Kaifeng,CN,0.0043969392064603,0.0018921885863275,0.0043969392064603,0.0,0.00024993751562109475,False,True,True,True,False,False
Qinhuangdao,CN,0.0042830898810408,0.0015137770350567,0.0068465577570488,0.0,0.00024993751562109475,False,True,True,True,False,False
Nagoya,JP,0.0041915709353172,0.0014601161438896,0.0073164946180869,0.0,0.00024993751562109475,False,True,True,True,False,False
Luohe,CN,0.0040014589304054,-4.663995172381743e-05,0.0086341412393811,0.1029999999999999,0.1029999999999999,False,False,False,False,False,False
Putuo,CN,0.003967574017243,0.0011085859492778,0.0072150865603816,0.0009999999999998,0.0009999999999998,False,True,True,True,False,False
Hanzhong,CN,0.003910982978689,0.0012029459282103,0.0067580173646172,0.0009999999999998,0.0009999999999998,False,True,True,True,False,False
Benghazi,LY,0.0036816993522627,0.0014337018513617,0.0062601803119683,0.0,0.00024993751562109475,False,True,True,True,False,False
Accra,GH,0.0036759540436972,0.001421571951441,0.0065256269737419,0.0,0.00024993751562109475,False,True,True,True,False,False
Jabalpur,IN,0.0035819517574923,0.0010560839536029,0.0050311073545877,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Manila,PH,0.0034897418002498,0.0006980618544253,0.0063995104776926,0.0115,0.0115,False,True,True,False,False,False
Nanchong,CN,0.0033759501018316,0.0010048234267957,0.0061062500877847,0.0009999999999998,0.0009999999999998,False,True,True,True,False,False
Linfen,CN,0.0033597281576323,0.0005740557914018,0.00663916967876,0.0249999999999999,0.0249999999999999,False,True,True,False,False,False
Jamshedpur,IN,0.003275903248584,0.0005394679193755,0.006624209526085,0.0235,0.0235,False,True,True,False,False,False
Xuhui,CN,0.0030998488024287,0.000877337799885,0.0053684863250866,0.0009999999999998,0.0009999999999998,False,True,True,True,False,False
Maracaibo,VE,0.0029827278373295,0.0011005920738077,0.0051091500449268,0.0,0.00024993751562109475,False,True,True,True,False,False
Malingao,PH,0.0029638183406366,0.0008033863604452,0.0029638183406366,0.004,0.004,False,True,True,True,False,False
Dalian,CN,0.002896224481439,0.0010760466035981,0.0049673568670224,0.0,0.00024993751562109475,False,True,True,True,False,False
Budta,PH,0.0028907748123359,0.0007181867105477,0.0053559100879757,0.0055,0.0055,False,True,True,True,False,False
Mombasa,KE,0.0028114281985759,0.0011204678584026,0.004696259038271,0.0,0.00024993751562109475,False,True,True,True,False,False
Chennai,IN,0.0026832935777019,0.0010730789082865,0.0045235594281931,0.0,0.00024993751562109475,False,True,True,True,False,False
Cartagena,CO,0.0026785270490979,0.0004797008400966,0.0053139105911917,0.0204999999999999,0.0204999999999999,False,True,True,False,False,False
Virār,IN,0.0025991780956606,0.0019959944961017,0.0025991780956606,0.0,0.00024993751562109475,False,True,True,True,False,False
Mandalay,MM,0.0025833231311815,-0.0031775825944254,0.0088124923529758,0.5660000000000001,0.5660000000000001,False,False,False,False,False,False
Ziyang,CN,0.0025591202315673,0.0007583093051363,0.0045653707451619,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Santo Domingo,DO,0.0024767920648013,0.0006809021030615,0.0046060444759537,0.002,0.002,False,True,True,True,False,False
Baoshan,CN,0.0024670626082674,0.0006762688745617,0.0044287847171819,0.002,0.002,False,True,True,True,False,False
Barranquilla,CO,0.0024053116310744,0.0004476608619669,0.0046132093407682,0.0184999999999999,0.0184999999999999,False,True,True,False,False,False
Cebu City,PH,0.002276329626615,0.002276329626615,0.002276329626615,0.0,0.00024993751562109475,False,True,True,True,False,False
Surabaya,ID,0.0022082061862322,-0.0010019565736869,0.0058522855372327,0.3149999999999999,0.3149999999999999,False,False,False,False,False,False
Seoul,KR,0.0021926419501853,0.0007829412458853,0.0037572449414291,0.0,0.00024993751562109475,False,True,True,True,False,False
Weinan,CN,0.002007256314618,0.000599620429505,0.0036432630126096,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Alexandria,EG,0.0019576794418436,0.0005205754538679,0.0035887035945086,0.0015,0.0015,False,True,True,True,False,False
Sapporo,JP,0.001933859674291,0.0004334499423983,0.003525010037273,0.01,0.01,False,True,True,False,False,False
Nantong,CN,0.0019166321843848,0.0001011155867964,0.0040727350437453,0.0705,0.0705,False,True,False,False,False,False
Auckland,NZ,0.0019078322068631,0.0006904732473526,0.0032412682258164,0.0,0.00024993751562109475,False,True,True,True,False,False
Xianyang,CN,0.0018758121915692,0.0006174797351954,0.0033192355079055,0.0,0.00024993751562109475,False,True,True,True,False,False
Hamamatsu,JP,0.0018496808038376,0.0005196211928647,0.0018496808038376,0.0044999999999999,0.0044999999999999,False,True,True,True,False,False
Karachi,PK,0.0018106153343679,0.0004986582433334,0.0032892303975454,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Shanghai,CN,0.0017738693845824,0.0011479908468059,0.0017738693845824,0.0009999999999998,0.0009999999999998,False,True,True,True,False,False
Tainan,TW,0.001610778367505,0.0003473925302693,0.0031410837688323,0.012,0.012,False,True,True,False,False,False
Kitakyushu,JP,0.0015969601989614,0.0003990257258993,0.0019178033808634,0.0024999999999999,0.0024999999999999,False,True,True,True,False,False
Lanzhou,CN,0.0015712382400322,0.0005254058927755,0.0026973148455408,0.0,0.00024993751562109475,False,True,True,True,False,False
Hiroshima,JP,0.0015640616549372,0.0002325757333331,0.0031389375482984,0.032,0.032,False,True,True,False,False,False
Davao,PH,0.0015205006009754,-0.0001473050299545,0.0033683151395163,0.1525,0.1525,False,False,False,False,False,False
Neijiang,CN,0.0014456937895842,0.0004341375853454,0.0025665249670705,0.0,0.00024993751562109475,False,True,True,True,False,False
Santiago de los Caballeros,DO,0.0014016720464758,0.0002620946555143,0.0027149906755611,0.016,0.016,False,True,True,False,False,False
Port-au-Prince,HT,0.0013811960865968,0.0003490050206672,0.0025979786018036,0.0055,0.0055,False,True,True,True,False,False
Hyderabad,PK,0.0013306612472312,0.0003534559071621,0.0024121508614403,0.0015,0.0015,False,True,True,True,False,False
Nay Pyi Taw,MM,0.0013303005997146,-0.0011687162776094,0.0022708897998283,0.4479999999999999,0.4479999999999999,False,False,False,False,False,False
Zhengzhou,CN,0.0012674802393856,0.0003708182977496,0.0015282868465959,0.0,0.00024993751562109475,False,True,True,True,False,False
Anyang,CN,0.0012147377205101,0.0004180393231679,0.0021176154165551,0.0,0.00024993751562109475,False,True,True,True,False,False
Fukuoka,JP,0.0011292210388418,0.0008565886039953,0.0011292210388418,0.0035,0.0035,False,True,True,True,False,False
Panzhihua,CN,0.0011250293667992,-5.167743531071313e-05,0.0025901623236461,0.1220000000000001,0.1220000000000001,False,False,False,False,False,False
Quezon City,PH,0.0010393864693847,0.0001278362339753,0.002107218975152,0.0409999999999999,0.0409999999999999,False,True,True,False,False,False
Bandar Lampung,ID,0.0010293927583578,-0.0004333286283527,0.002609123871258,0.294,0.294,False,False,False,False,False,False
Yangjiang,CN,0.0009961720420938,-0.0012508917079017,0.0035528166136206,0.5185,0.5185,False,False,False,False,False,False
Chongqing,CN,0.0009810779997386,0.0001384336500808,0.0018902126279857,0.0329999999999999,0.0329999999999999,False,True,True,False,False,False
Jakarta,ID,0.0009605569416031,-3.502980449082149e-05,0.0020729046187427,0.1225,0.1225,False,False,False,False,False,False
Pasig City,PH,0.0009425574639516,0.0001068769301092,0.0018619490104443,0.0435,0.0435,False,True,True,False,False,False
Goyang-si,KR,0.0009003048747226,0.0004644921017719,0.0009003048747226,0.0,0.00024993751562109475,False,True,True,True,False,False
Tianshui,CN,0.000896197666793,0.0003110550326181,0.0015946017783014,0.0,0.00024993751562109475,False,True,True,True,False,False
Haiphong,VN,0.0008755768894566,-3.366235461207609e-05,0.0019457533547552,0.1169999999999999,0.1169999999999999,False,False,False,False,False,False
Changwon,KR,0.0008700584934065,0.0001483121294334,0.0016925404970798,0.0224999999999999,0.0224999999999999,False,True,True,False,False,False
Kaohsiung,TW,0.0007876052972501,-0.0005893739314591,0.0021888046072442,0.4155,0.4155,False,False,False,False,False,False
Vadodara,IN,0.0007753986476834,0.0002025649499052,0.0014310177372404,0.002,0.002,False,True,True,True,False,False
Langfang,CN,0.0007721279813353,0.0002566857307108,0.0013174704850387,0.0,0.00024993751562109475,False,True,True,True,False,False
Hanoi,VN,0.0007661094018628,-0.0021939410903894,0.0026238545484459,0.7110000000000001,0.7110000000000001,False,False,False,False,False,False
Caloocan,PH,0.0007599218058339,0.0007599218058339,0.0007599218058339,0.0089999999999998,0.0089999999999998,False,True,True,False,False,False
Dongying,CN,0.0007503506881893,0.0004929263375389,0.0007503506881893,0.0,0.00024993751562109475,False,True,True,True,False,False
Incheon,KR,0.0007501877106964,0.0002689295014475,0.0012369028753423,0.0,0.00024993751562109475,False,True,True,True,False,False
Taiyuan,CN,0.0007481143005881,0.0006934087391053,0.0007481143005881,0.0155,0.0155,False,True,True,False,False,False
Zhenjiang,CN,0.0007220839788225,-0.0003598339920611,0.0018659706994761,0.3334999999999999,0.3334999999999999,False,False,False,False,False,False
Giza,EG,0.00070556806689,0.0001094598125627,0.0013921614717881,0.03,0.03,False,True,True,False,False,False
Ankang,CN,0.0006825083072401,0.0001954378221154,0.0012248434299897,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Suwon,KR,0.0006359158262189,0.0002248553384981,0.0011049711007059,0.0,0.00024993751562109475,False,True,True,True,False,False
Pimpri-Chinchwad,IN,0.0006171175405221,0.0002232672410458,0.0010910841725212,0.0,0.00024993751562109475,False,True,True,True,False,False
Chiba,JP,0.0006153195528436,0.0006153195528436,0.0006153195528436,0.0,0.00024993751562109475,False,True,True,True,False,False
Cali,CO,0.0006105155087874,-0.0003694286458395,0.0006105155087874,0.3594999999999999,0.3594999999999999,False,False,False,False,False,False
Barquisimeto,VE,0.0005986854645656,0.0002231788041404,0.0010451086370402,0.0,0.00024993751562109475,False,True,True,True,False,False
Tangerang,ID,0.0005862220146996,-1.036897514979511e-05,0.0012504614267452,0.1109999999999999,0.1109999999999999,False,False,False,False,False,False
Mysuru,IN,0.0005723038697131,0.0002009788193956,0.00083953289685,0.0,0.00024993751562109475,False,True,True,True,False,False
Bucheon-si,KR,0.000571231348487,0.0002000369447814,0.0009909100519071,0.0,0.00024993751562109475,False,True,True,True,False,False
Tripoli,LY,0.0005650613683371,0.0001188310637474,0.0010954979640199,0.01,0.01,False,True,True,False,False,False
Beirut,LB,0.0005301694941249,-4.2965875097498296e-05,0.0011539892591182,0.1505,0.1505,False,False,False,False,False,False
Yibin,CN,0.0005162069294723,0.0001457609461879,0.0009278182293975,0.0015,0.0015,False,True,True,True,False,False
Havana,CU,0.0005034226792101,4.3504630703865296e-05,0.001020372433894,0.0629999999999999,0.0629999999999999,False,True,True,False,False,False
Guwahati,IN,0.0005028785885829,-0.0038115577722043,0.0047189884872142,0.9105,0.9105,False,False,False,False,False,False
Dhaka,BD,0.000501866092094,-0.0083603291251546,0.0040394659854371,0.947,0.947,False,False,False,False,False,False
San Jose,US,0.000496426350033,4.1933674113270494e-05,0.0006725883656629,0.052,0.052,False,True,True,False,False,False
Kota,IN,0.000491096082124,-7.974285590479305e-05,0.0011051613465398,0.1859999999999999,0.1859999999999999,False,False,False,False,False,False
Jiaozuo,CN,0.0004495476012168,0.0001540478204035,0.0008058822757498,0.0,0.00024993751562109475,False,True,True,True,False,False
Taipei,TW,0.0004195205423698,-0.0009367516973735,0.0018943580637169,0.6665000000000001,0.6665000000000001,False,False,False,False,False,False
Agra,IN,0.0004130453731711,-0.0017174006004168,0.0026945205828749,0.79,0.79,False,False,False,False,False,False
New Taipei City,TW,0.0004106270631025,-0.0009592436771925,0.0017061431927624,0.687,0.687,False,False,False,False,False,False
Linyi,CN,0.0003796795217104,0.0001432454484555,0.0003796795217104,0.0009999999999998,0.0009999999999998,False,True,True,True,False,False
Bekasi,ID,0.0003695291061639,-1.5281822307495295e-05,0.0008120990981101,0.1205,0.1205,False,False,False,False,False,False
Pimpri,IN,0.000359197196582,0.0001274083604583,0.0006371388735635,0.0,0.00024993751562109475,False,True,True,True,False,False
Bhubaneswar,IN,0.0003474043925275,7.139984301811629e-05,0.0006828435154962,0.016,0.016,False,True,True,False,False,False
Pingdingshan,CN,0.0003472585029559,-0.0003447612982385,0.0003472585029559,0.3925,0.3925,False,False,False,False,False,False
Ulsan,KR,0.0003399052354951,-0.0001007864517297,0.0003399052354951,0.2124999999999999,0.2124999999999999,False,False,False,False,False,False
Natal,BR,0.0003325867328523,0.0001241945875274,0.0005651338887189,0.0,0.00024993751562109475,False,True,True,True,False,False
Antipolo,PH,0.0003314198522643,4.701257432291259e-05,0.0003908803154227,0.038,0.038,False,True,True,False,False,False
Wenzhou,CN,0.0003306022888904,0.0002252022240566,0.0003306022888904,0.0375,0.0375,False,True,True,False,False,False
Panjin,CN,0.0003149296385248,0.0002065743309335,0.0003149296385248,0.0,0.00024993751562109475,False,True,True,True,False,False
Managua,NI,0.0002791380982256,-2.0822950800446715e-05,0.0003092822223204,0.1454999999999999,0.1454999999999999,False,False,False,False,False,False
Ottawa,CA,0.0002719925024275,-0.0005799173362205,0.0011579694106342,0.655,0.655,False,False,False,False,False,False
Beijing,CN,0.0002529408037319,8.536362684613057e-05,0.0004465976104572,0.0,0.00024993751562109475,False,True,True,True,False,False
Xi’an,CN,0.0002515117993584,7.72506997488152e-05,0.0004475284629426,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Jepara,ID,0.0002440175633789,0.0002440175633789,0.0002440175633789,0.014,0.014,False,True,True,False,False,False
Zigong,CN,0.0002421462513756,7.48659079897334e-05,0.000263836947325,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Busan,KR,0.0002305254564494,-2.961295205615027e-05,0.0005285626858169,0.1705000000000001,0.1705000000000001,False,False,False,False,False,False
Daegu,KR,0.000217891965716,-4.738158337195125e-05,0.0005185310712878,0.2015,0.2015,False,False,False,False,False,False
Bengaluru,IN,0.0002141837252329,7.655866955664931e-05,0.0003433422367366,0.0,0.00024993751562109475,False,True,True,True,False,False
Kingston,JM,0.0001636288480058,0.0001636288480058,0.0001636288480058,0.0,0.00024993751562109475,False,True,True,True,False,False
Medan,ID,0.0001521960233025,0.0001521960233025,0.0001521960233025,0.0,0.00024993751562109475,False,True,True,True,False,False
South Tangerang,ID,0.0001452925843284,-5.66335235179672e-06,0.0003115024032867,0.123,0.123,False,False,False,False,False,False
Setagaya,JP,0.0001375596194314,0.0001375596194314,0.0001375596194314,0.0,0.00024993751562109475,False,True,True,True,False,False
Sendai,JP,0.0001260206090287,-7.861829944299652e-05,0.000362938321055,0.377,0.377,False,False,False,False,False,False
Bogotá,CO,0.0001202890283737,8.971757932850203e-07,0.0002612947540153,0.0969999999999999,0.0969999999999999,False,False,False,False,False,False
Luoyang,CN,9.478375575265922e-05,2.8451380527695077e-05,0.000172501886557,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Palembang,ID,9.042149292762258e-05,-0.0009522385945874,0.0010529707629897,0.8955,0.8955,False,False,False,False,False,False
Baoji,CN,8.616546833398013e-05,2.737423294727152e-05,0.000149496377631,0.0,0.00024993751562109475,False,True,True,True,False,False
Al Başrah al Qadīmah,IQ,8.563931653143841e-05,-0.0006747978514863,0.0004719862410388,0.8654999999999999,0.8654999999999999,False,False,False,False,False,False
Kennedy,CO,6.96374397448048e-05,1.914682824359031e-06,0.0001531480798861,0.088,0.088,False,False,False,False,False,False
Basrah,IQ,6.284218389836227e-05,-0.0005363741804631,0.0006473403597988,0.8734999999999999,0.8734999999999999,False,False,False,False,False,False
Khulna,BD,6.173769196178179e-05,-3.6399457566724814e-05,0.0001682660431178,0.3640000000000001,0.3640000000000001,False,False,False,False,False,False
Xinxiang,CN,5.675551645155852e-05,1.8903826858062e-05,0.000102643866433,0.0,0.00024993751562109475,False,True,True,True,False,False
Jinzhong,CN,5.542377266519764e-05,1.0828303741720153e-05,0.0001059204786682,0.01,0.01,False,True,True,False,False,False
Sholapur,IN,5.45804768456626e-05,1.9556750409579385e-05,9.625853792857328e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Liupanshui,CN,5.1777484746426405e-05,-0.0001855291584751,0.0003010308450114,0.7675000000000001,0.7675000000000001,False,False,False,False,False,False
Petaling Jaya,MY,4.014157512375032e-05,1.319430191007989e-05,7.036400848204903e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Chengdu,CN,3.854409003034229e-05,9.608372054199508e-06,7.144820214034363e-05,0.0044999999999999,0.0044999999999999,False,True,True,True,False,False
Changzhi,CN,3.543453867513183e-05,1.2034516440258153e-05,6.345309384537258e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Taizhou,CN,3.165049655297781e-05,-1.3803285001313947e-05,8.166913538271398e-05,0.3189999999999999,0.3189999999999999,False,False,False,False,False,False
Gazipur,BD,2.933684224548129e-05,-0.0004664023227612,0.0005103280681219,0.9465,0.9465,False,False,False,False,False,False
Multan,PK,2.747009937493442e-05,-4.53495615671783e-05,0.0001070450825594,0.591,0.591,False,False,False,False,False,False
Liaocheng,CN,2.5218804814582957e-05,1.3086491701864336e-05,2.5218804814582957e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Valencia,VE,2.46839178901176e-05,1.1271279868977578e-05,2.46839178901176e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Kallakurichi,IN,2.4281377783598855e-05,7.709834764843025e-06,4.388277053135459e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Heze,CN,2.251571264893885e-05,1.4880687693274455e-05,2.251571264893885e-05,0.0235,0.0235,False,True,True,False,False,False
Shivaji Nagar,IN,2.238555473123944e-05,2.238555473123944e-05,2.238555473123944e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Caracas,VE,2.042034761258471e-05,2.042034761258471e-05,2.042034761258471e-05,0.004,0.004,False,True,True,True,False,False
Baoshan,CN,1.8027984983073723e-05,-5.613866501711013e-06,4.415809875403149e-05,0.2455,0.2455,False,False,False,False,False,False
Handan,CN,1.4961671246194909e-05,5.279814060405384e-06,2.1006966030205707e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Indore,IN,1.4940004805608672e-05,1.4940004805608672e-05,1.4940004805608672e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Depok,ID,1.387779415677878e-05,-6.751747451740191e-07,3.0709690838986406e-05,0.1265,0.1265,False,False,False,False,False,False
Kolwezi,CD,1.3818388655759344e-05,-4.482444750276959e-06,3.4034170878670785e-05,0.258,0.258,False,False,False,False,False,False
Taichung,TW,1.254850314375e-05,-2.823964905314729e-05,5.458721124056537e-05,0.6395,0.6395,False,False,False,False,False,False
Pune,IN,1.1486070368725823e-05,1.1486070368725823e-05,1.1486070368725823e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Aurangabad,IN,8.714882584437593e-06,3.096644419045499e-06,1.5308654333125667e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Shenyang,CN,7.412707708519327e-06,3.896806972735612e-06,7.412707708519327e-06,0.0,0.00024993751562109475,False,True,True,True,False,False
Kuala Lumpur,MY,7.280506355712159e-06,2.469142439068733e-06,1.3017520717775924e-05,0.0,0.00024993751562109475,False,True,True,True,False,False
Blantyre,MW,6.680133844755168e-06,-1.5906286748168853e-05,3.1573808699378185e-05,0.69,0.69,False,False,False,False,False,False
Xuchang,CN,3.616357162117631e-06,1.0736648918023115e-06,6.577038676394808e-06,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Anshan,CN,2.976771155298167e-06,2.976771155298167e-06,2.976771155298167e-06,0.0,0.00024993751562109475,False,True,True,True,False,False
Lubumbashi,CD,2.839621737117903e-06,-2.055881142380865e-06,8.265659299909714e-06,0.4225000000000001,0.4225000000000001,False,False,False,False,False,False
Addis Ababa,ET,2.8194569339276605e-06,1.0492545368157678e-06,4.871783681492349e-06,0.0,0.00024993751562109475,False,True,True,True,False,False
Comilla,BD,2.6682216159197027e-06,-2.120612320383724e-06,8.002515629297542e-06,0.439,0.439,False,False,False,False,False,False
Jerusalem,IL,1.707265361990725e-06,3.38023119115846e-07,3.1575186939809707e-06,0.0135,0.0135,False,True,True,False,False,False
Pyongyang,KP,1.532334130254123e-06,5.846690779227911e-07,2.617020214579421e-06,0.0,0.00024993751562109475,False,True,True,True,False,False
Kyoto,JP,8.994660704178545e-07,3.099619194728326e-07,1.3932253853739571e-06,0.0,0.00024993751562109475,False,True,True,True,False,False
Malang,ID,8.776195985724528e-07,-4.286829669709554e-07,1.843749421766088e-06,0.3165,0.3165,False,False,False,False,False,False
Medellín,CO,8.566869730858729e-07,8.566869730858729e-07,8.566869730858729e-07,0.0095,0.0095,False,True,True,False,False,False
Damascus,SY,6.73029755562284e-07,-6.858677208543415e-08,1.5263009740733853e-06,0.1525,0.1525,False,False,False,False,False,False
Gwangju,KR,6.674624721634217e-07,2.2547002244670323e-07,6.674624721634217e-07,0.0009999999999998,0.0009999999999998,False,True,True,True,False,False
Amman,JO,6.400844697075083e-07,1.4208049177877262e-07,1.2055758735370843e-06,0.0129999999999999,0.0129999999999999,False,True,True,False,False,False
Puning,CN,6.155005010132267e-07,-2.5165490213427013e-06,3.80580650850266e-06,0.7789999999999999,0.7789999999999999,False,False,False,False,False,False
Qingyang,CN,5.39952270602856e-07,-3.568037880193735e-08,1.1492777003394965e-06,0.1305,0.1305,False,False,False,False,False,False
Salem,IN,4.997142860270237e-07,4.997142860270237e-07,4.997142860270237e-07,0.0,0.00024993751562109475,False,True,True,True,False,False
Kunming,CN,3.356685715909279e-07,-9.62276305586635e-07,8.68871601920486e-07,0.7264999999999999,0.7264999999999999,False,False,False,False,False,False
Tiruppur,IN,3.315665642735338e-07,9.981095702207494e-08,5.967254161289375e-07,0.0,0.00024993751562109475,False,True,True,True,False,False
Fushun,CN,2.6350394759514496e-07,2.6350394759514496e-07,2.6350394759514496e-07,0.0,0.00024993751562109475,False,True,True,True,False,False
Meishan,CN,2.3526340848704938e-07,7.163183756303862e-08,4.320314027484881e-07,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Tangshan,CN,1.5904333389553664e-07,1.5904333389553664e-07,1.5904333389553664e-07,0.0,0.00024993751562109475,False,True,True,True,False,False
Weifang,CN,1.348122234628772e-07,1.348122234628772e-07,1.348122234628772e-07,0.0,0.00024993751562109475,False,True,True,True,False,False
Soweto,ZA,1.1792560651695025e-07,4.019079591783912e-08,2.0570514855870437e-07,0.0,0.00024993751562109475,False,True,True,True,False,False
Lucknow,IN,9.315278130211076e-08,1.4893206708783154e-08,9.346896860413581e-08,0.0289999999999999,0.0289999999999999,False,True,True,False,False,False
Xining,CN,6.044792135420331e-08,2.0045646660558372e-08,1.0632543071983912e-07,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Daejeon,KR,6.005393629582567e-08,1.4050030416033321e-08,1.0555903554456245e-07,0.0044999999999999,0.0044999999999999,False,True,True,True,False,False
Dodoma,TZ,5.6511767885969806e-08,2.1313259787174363e-08,9.743680761301445e-08,0.0,0.00024993751562109475,False,True,True,True,False,False
Gwalior,IN,4.8166977239862135e-08,1.0535698401449972e-08,9.030520670976156e-08,0.0084999999999999,0.0084999999999999,False,True,True,False,False,False
Johannesburg,ZA,1.8602399924541268e-08,6.2453812007353724e-09,3.2311783951533915e-08,0.0,0.00024993751562109475,False,True,True,True,False,False
Zarqa,JO,1.5409152664978725e-08,3.309658655774288e-09,2.856355898794109e-08,0.0109999999999998,0.0109999999999998,False,True,True,False,False,False
Sanhe,CN,1.2834426076257588e-08,4.801340883648031e-09,2.25221151904398e-08,0.0,0.00024993751562109475,False,True,True,True,False,False
Rājkot,IN,8.910568479958237e-09,2.5502881980087134e-09,1.6517173464236514e-08,0.0029999999999998,0.0029999999999998,False,True,True,True,False,False
Bandung,ID,7.836513003651931e-09,1.4749793502180374e-10,1.6997754705064748e-08,0.0889999999999999,0.0889999999999999,False,False,False,False,False,False
